Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
16,0,0.1585677,0.890088,-0.09854552,0.005448416,-0.4201341,0.7782144,-0.4667335
16,0.01111111,0.1556161,0.8907633,-0.0971982,0.01109709,-0.4280037,0.766126,-0.4793127
16,0.02222222,0.1556161,0.8907633,-0.0971982,0.01109709,-0.4280037,0.766126,-0.4793127
16,0.03333334,0.1539647,0.8914226,-0.09530419,0.01675871,-0.4325328,0.7505268,-0.4993436
16,0.04444445,0.1539753,0.8912821,-0.09548761,0.02097581,-0.4276173,0.7517583,-0.5015606
16,0.05555556,0.1551864,0.8910043,-0.09511438,0.02459271,-0.4225624,0.7540265,-0.5022749
16,0.06666667,0.1556876,0.8911908,-0.09479031,0.02617504,-0.4190202,0.7544043,-0.5045899
16,0.07777778,0.1557964,0.8915814,-0.09401025,0.0276124,-0.4183898,0.7517226,-0.5090193
16,0.08888889,0.1559356,0.8919745,-0.09330066,0.02936327,-0.4187364,0.7491636,-0.512398
16,0.1,0.1559982,0.8926859,-0.09243047,0.03149009,-0.4205,0.7466807,-0.5144473
16,0.1111111,0.1564652,0.8931735,-0.0918553,0.03354673,-0.4206446,0.7449976,-0.5166346
16,0.1222222,0.1571568,0.8937624,-0.09109652,0.03478897,-0.4204818,0.7436464,-0.5186279
16,0.1333333,0.1586536,0.8945721,-0.09066512,0.03426214,-0.4181121,0.7447393,-0.5190104
16,0.1444445,0.1599844,0.8954466,-0.08991472,0.03388521,-0.4168187,0.7434255,-0.5219505
16,0.1555556,0.161183,0.8969236,-0.08892076,0.03311659,-0.4172043,0.7406657,-0.5256026
16,0.1666667,0.1615619,0.89792,-0.08817194,0.03550087,-0.4175666,0.7398305,-0.5263352
16,0.1777778,0.1622416,0.8987724,-0.08758596,0.03797753,-0.4170519,0.7390316,-0.5276909
