Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
17,0,0.1705917,0.9126828,-0.08032441,-0.0859914,0.4077121,-0.6863381,0.5960841
17,0,0.1705917,0.9126828,-0.08032441,-0.0859914,0.4077121,-0.6863381,0.5960841
17,0.01111111,0.169151,0.9132282,-0.08000156,-0.0914133,0.412957,-0.6807737,0.5980445
17,0.02222222,0.1706153,0.9143801,-0.08023746,-0.09352408,0.4104866,-0.6836662,0.5961161
17,0.03333334,0.1716919,0.9147276,-0.08041348,-0.0947511,0.4065989,-0.6874891,0.594187
17,0.04444445,0.1727925,0.9152229,-0.08107537,-0.09591818,0.4019557,-0.6945372,0.5889393
17,0.05555556,0.1738497,0.9157324,-0.08148926,-0.09742837,0.3986523,-0.6984138,0.5863465
17,0.06666667,0.1741513,0.9165438,-0.08172843,-0.09835713,0.3966364,-0.699782,0.5859272
17,0.07777778,0.1744231,0.9168953,-0.08180693,-0.09994011,0.3970107,-0.6984974,0.5869378
17,0.08888889,0.174457,0.9176542,-0.08163464,-0.1017324,0.3976562,-0.6971334,0.5878139
17,0.1,0.174295,0.9179172,-0.08154559,-0.1037356,0.4001327,-0.6936547,0.5898948
17,0.1111111,0.1739412,0.9183877,-0.08117098,-0.1057008,0.4023132,-0.6908503,0.5913521
17,0.1222222,0.1738634,0.9185158,-0.08120663,-0.1075391,0.4041234,-0.6889252,0.5920318
17,0.1333333,0.1737395,0.9186952,-0.08135389,-0.1093644,0.404942,-0.6890427,0.5910004
17,0.1444445,0.1737043,0.9188656,-0.08161846,-0.1107084,0.4053233,-0.689616,0.589819
17,0.1555556,0.1739944,0.918877,-0.08218946,-0.1112986,0.4049017,-0.6923921,0.5867372
17,0.1666667,0.1741189,0.9187289,-0.08253759,-0.1121192,0.4050398,-0.6937962,0.5848236
17,0.1777778,0.1743102,0.9187334,-0.08304605,-0.1123323,0.4054442,-0.6952094,0.582821
17,0.1888889,0.174512,0.9186824,-0.08357319,-0.1124493,0.4066006,-0.6954718,0.5816787
17,0.2,0.174562,0.9184943,-0.08400893,-0.1127682,0.4080893,-0.6949434,0.5812057
17,0.2111111,0.1745654,0.918357,-0.08433229,-0.1131494,0.4095667,-0.6942775,0.580888
17,0.2222222,0.1746066,0.9181488,-0.08462602,-0.1137414,0.4113204,-0.693099,0.5809408
17,0.2333333,0.1747899,0.9179308,-0.08496797,-0.1141559,0.4129,-0.692247,0.5807547
17,0.2444444,0.1750194,0.9177741,-0.08528951,-0.114585,0.4145272,-0.6912511,0.5806975
17,0.2555556,0.1754438,0.9177274,-0.08564556,-0.1148149,0.4157749,-0.6908703,0.5802128
17,0.2666667,0.1760297,0.9177631,-0.08600526,-0.1147093,0.4168166,-0.6908745,0.5794807
17,0.2777778,0.1768009,0.9179232,-0.0864615,-0.1147263,0.4177125,-0.6911167,0.5785428
17,0.2888889,0.177552,0.9180789,-0.0867715,-0.11481,0.4185495,-0.6914087,0.5775716
17,0.3,0.1784957,0.9183776,-0.08709195,-0.1150313,0.4192832,-0.6916935,0.5766537
17,0.3111111,0.1796075,0.9187724,-0.08725876,-0.1156121,0.4199935,-0.6915012,0.576251
17,0.3222222,0.1806968,0.919275,-0.08737056,-0.1163641,0.4209062,-0.6908813,0.5761775
17,0.3333333,0.1819752,0.9199008,-0.0875195,-0.1172729,0.4216934,-0.6904684,0.5759125
17,0.3444445,0.1835591,0.9207671,-0.0875516,-0.11874,0.4221199,-0.6901659,0.5756618
17,0.3555556,0.1851005,0.9216462,-0.0875544,-0.1202617,0.4226245,-0.6898364,0.5753706
17,0.3666667,0.1869081,0.9227712,-0.08752446,-0.1221271,0.4230898,-0.6891538,0.5754538
17,0.3777778,0.1886856,0.9239119,-0.08756344,-0.1239022,0.4233711,-0.6884724,0.575683
17,0.3888889,0.1907175,0.9251093,-0.08743695,-0.1262899,0.4232054,-0.6876175,0.5763075
17,0.4,0.1929554,0.9265157,-0.08744431,-0.1288524,0.4227195,-0.6867564,0.5771231
17,0.4111111,0.195291,0.9280975,-0.08716871,-0.1313748,0.4221516,-0.6858409,0.578058
17,0.4222222,0.1978187,0.9297223,-0.08693097,-0.1341144,0.4214879,-0.6847728,0.5791784
17,0.4333333,0.2003351,0.9313827,-0.08657531,-0.1370202,0.4209168,-0.6833844,0.5805517
17,0.4444444,0.2030973,0.9332674,-0.08620238,-0.1402373,0.4203642,-0.6816258,0.5822489
17,0.4555556,0.205953,0.9353798,-0.08568691,-0.1435845,0.419955,-0.6798348,0.5838202
17,0.4666667,0.2088838,0.9375005,-0.08522158,-0.1467237,0.4194501,-0.6782461,0.5852486
17,0.4777778,0.2122029,0.9400609,-0.08454265,-0.1498852,0.4186948,-0.6769406,0.5864986
17,0.4888889,0.2154649,0.9424714,-0.0839947,-0.1530078,0.4176514,-0.6758636,0.5876771
