Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
13,0,0.3834566,1.427405,-0.05557357,0.2539752,-0.2065684,0.2958435,-0.8973866
13,0,0.3834566,1.427405,-0.05557357,0.2539752,-0.2065684,0.2958435,-0.8973866
13,0.01111111,0.3852727,1.426969,-0.05452882,0.2544367,-0.2137229,0.2926023,-0.8966429
13,0.02222222,0.387679,1.426312,-0.05319686,0.2552659,-0.2197128,0.2893574,-0.8960122
13,0.03333334,0.3899048,1.425393,-0.05223291,0.2561606,-0.2259249,0.2844631,-0.8957793
13,0.04444445,0.3922036,1.424708,-0.05118135,0.2562556,-0.2307474,0.2830947,-0.8949559
13,0.05555556,0.3946473,1.424081,-0.0502845,0.2554545,-0.2343662,0.2854832,-0.8934847
13,0.06666667,0.3966214,1.4239,-0.04954128,0.2532314,-0.2376762,0.2906641,-0.8915706
13,0.07777778,0.3983456,1.423835,-0.04910234,0.2498163,-0.2396207,0.297069,-0.889901
13,0.08888889,0.4004204,1.423753,-0.04852715,0.2458876,-0.2420094,0.3028959,-0.8883833
13,0.1,0.4027554,1.423966,-0.04848532,0.2411268,-0.2419671,0.3073158,-0.8881817
13,0.1111111,0.4049176,1.424047,-0.04803538,0.2368105,-0.2427893,0.3100291,-0.8881757
13,0.1222222,0.4077781,1.423647,-0.04716882,0.2338133,-0.2436659,0.3085725,-0.8892363
13,0.1333333,0.4100207,1.423259,-0.04631437,0.2320672,-0.2454279,0.308025,-0.8893989
13,0.1444445,0.4120791,1.422569,-0.04520744,0.2321689,-0.2478225,0.3071893,-0.8889974
13,0.1555556,0.4142431,1.422111,-0.04410952,0.2317888,-0.2506951,0.3093624,-0.8875364
13,0.1666667,0.4163238,1.42183,-0.0430067,0.2305098,-0.2532649,0.3127006,-0.8859687
13,0.1777778,0.418619,1.421462,-0.04203062,0.2289203,-0.2553539,0.3164144,-0.8844613
13,0.1888889,0.4208083,1.421173,-0.04130659,0.2269851,-0.2566745,0.3191915,-0.8835796
13,0.2,0.4233413,1.420883,-0.04050767,0.224002,-0.257967,0.3225622,-0.88274
13,0.2111111,0.4259161,1.420736,-0.03980029,0.2202241,-0.2599687,0.3250618,-0.8821862
13,0.2222222,0.4285467,1.420706,-0.03903572,0.2158147,-0.2627495,0.3271981,-0.8816621
13,0.2333333,0.4309246,1.42103,-0.03840035,0.2101742,-0.2671651,0.3276655,-0.8815241
13,0.2444444,0.4331813,1.421733,-0.03769644,0.2028052,-0.2733705,0.3259027,-0.8820011
13,0.2555556,0.4355855,1.422399,-0.03684913,0.1963879,-0.278302,0.3251987,-0.8821709
13,0.2666667,0.438006,1.423314,-0.03597523,0.1883135,-0.2840559,0.3234472,-0.8827413
13,0.2777778,0.4404502,1.424616,-0.0352518,0.1788351,-0.2901869,0.3218624,-0.8832974
13,0.2888889,0.4428851,1.426059,-0.03455934,0.168844,-0.2961892,0.3210624,-0.8835625
13,0.3,0.4453175,1.428203,-0.0338262,0.1568529,-0.3030162,0.3205495,-0.8836437
13,0.3111111,0.4477533,1.430709,-0.03318296,0.1436802,-0.3106467,0.318106,-0.8841171
13,0.3222222,0.4499923,1.43314,-0.03244966,0.1314714,-0.317929,0.313635,-0.8850251
13,0.3333333,0.4517224,1.435424,-0.03157526,0.1202955,-0.3249629,0.3054853,-0.8869087
13,0.3444445,0.4537961,1.438092,-0.03090234,-0.1103153,0.3310835,-0.2981826,0.8884264
13,0.3555556,0.4553704,1.440963,-0.03042287,-0.1020053,0.3362474,-0.2915442,0.8896823
13,0.3666667,0.4570412,1.44362,-0.02959186,-0.09400839,0.3413134,-0.2868738,0.8901522
13,0.3777778,0.45816,1.446861,-0.02911277,-0.08917873,0.3444552,-0.2858238,0.8897766
13,0.3888889,0.4591156,1.450418,-0.02877969,-0.08669776,0.3460048,-0.287838,0.8887708
13,0.4,0.4599842,1.454063,-0.02830134,-0.08292909,0.3480871,-0.2879345,0.8882859
13,0.4111111,0.4608969,1.458171,-0.02804123,-0.08071754,0.3478418,-0.2890737,0.8882158
13,0.4222222,0.4614863,1.462316,-0.02780358,-0.07847112,0.347376,-0.2881373,0.8889033
13,0.4333333,0.4617366,1.466911,-0.02783611,-0.07800231,0.3453396,-0.2840154,0.8910621
