Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
16,0,0.3495519,0.6725763,0.7962574,0.2984886,-0.1034455,-0.6658506,0.6759043
16,0.01111111,0.3506183,0.6719273,0.7970464,0.2971522,-0.1103183,-0.6601256,0.6810027
16,0.02222222,0.3521526,0.6719977,0.7988212,0.2980195,-0.1125312,-0.6579223,0.6823924
16,0.03333334,0.3531474,0.6722333,0.8001395,0.302537,-0.1130797,-0.659772,0.678517
16,0.04444445,0.3545899,0.6717132,0.8014321,0.308042,-0.1131149,-0.6643481,0.671533
16,0.05555556,0.3567407,0.6712468,0.8031976,0.3117268,-0.1126202,-0.6673728,0.6669008
16,0.06666667,0.3579415,0.6709014,0.8037633,0.3156404,-0.1074958,-0.6715714,0.6616703
16,0.07777778,0.3589825,0.6705834,0.8042074,0.3176997,-0.1043221,-0.6742806,0.6584296
16,0.08888889,0.3602429,0.6701895,0.8045157,0.3198387,-0.1002245,-0.6782589,0.6539289
16,0.1,0.3610065,0.6693877,0.8046854,0.32141,-0.09734163,-0.6823881,0.6492817
16,0.1111111,0.360237,0.6705868,0.8041553,0.3229353,-0.09381276,-0.6873751,0.6437604
16,0.1222222,0.3594679,0.6700864,0.8028877,0.3236645,-0.08957466,-0.6940038,0.6368489
16,0.1333333,0.3643296,0.6705111,0.8056656,0.3243704,-0.0851329,-0.7002342,0.6302447
16,0.1444445,0.3655654,0.6700112,0.8056985,0.3253167,-0.08092781,-0.7058304,0.6240378
16,0.1555556,0.3672444,0.6695049,0.8060071,0.3270459,-0.077457,-0.7108148,0.6178866
16,0.1666667,0.3682176,0.6695517,0.8065438,0.3294866,-0.07590391,-0.714577,0.612419
16,0.1777778,0.3695605,0.6688896,0.8067883,0.331228,-0.07521923,-0.7183033,0.6071823
16,0.1888889,0.3707182,0.6686162,0.8066765,0.3329388,-0.07457048,-0.7217756,0.6021885
16,0.2,0.3719293,0.6681761,0.8064482,0.3344663,-0.0732797,-0.7254611,0.59705
16,0.2111111,0.3729531,0.6682137,0.8061435,0.3366179,-0.07257219,-0.7274846,0.5934543
