Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
17,0,0.2425089,0.8467172,0.06777406,-0.04135684,-0.3503264,0.8621001,-0.363792
17,0,0.2425089,0.8467172,0.06777406,-0.04135684,-0.3503264,0.8621001,-0.363792
17,0.01111111,0.2348704,0.8474783,0.05700897,-0.01935166,-0.3531623,0.8499669,-0.3904589
17,0.02222222,0.2348704,0.8474783,0.05700897,-0.01935166,-0.3531623,0.8499669,-0.3904589
17,0.03333334,0.2251203,0.8473439,0.04410997,0.01089768,-0.3563363,0.8354394,-0.4182662
17,0.04444445,0.2183248,0.8460733,0.03426409,0.03484502,-0.3532392,0.8267032,-0.4365428
17,0.05555556,0.2076821,0.8448167,0.01815292,0.07988909,-0.3449247,0.8182304,-0.4529278
17,0.06666667,0.2019631,0.8432631,0.01031269,0.1071707,-0.339447,0.8173412,-0.4530382
17,0.07777778,0.1958767,0.8432387,0.002683908,0.1298462,-0.3369157,0.8157202,-0.4519162
17,0.08888889,0.1898721,0.843284,-0.004800655,0.1495178,-0.337528,0.8141322,-0.4482276
17,0.1,0.1851739,0.8447223,-0.01175327,0.1655358,-0.3396537,0.8150994,-0.4391427
17,0.1111111,0.1793236,0.8456337,-0.01908904,0.1816797,-0.343178,0.812098,-0.4355667
17,0.1222222,0.1745689,0.8472814,-0.02521232,0.1939866,-0.3520518,0.8073455,-0.4319975
17,0.1333333,0.169156,0.8485129,-0.03194426,0.206747,-0.3608327,0.801039,-0.4305717
17,0.1444445,0.164628,0.8497901,-0.03759635,0.2175583,-0.3720425,0.7928391,-0.4308814
17,0.1555556,0.1598532,0.8508998,-0.04366206,0.2291594,-0.3812206,0.7856593,-0.4299957
17,0.1666667,0.1554113,0.8519914,-0.04883453,0.2387342,-0.3898482,0.7798352,-0.4276465
17,0.1777778,0.1555844,0.8509839,-0.05598093,0.2476904,-0.3968772,0.7764887,-0.4221413
17,0.1888889,0.1509805,0.8522272,-0.06066811,0.2572255,-0.4031529,0.7733882,-0.4161411
17,0.2,0.1482935,0.8524051,-0.06586315,0.2658908,-0.4079284,0.7725172,-0.4075705
17,0.2111111,0.1441724,0.8534455,-0.06967764,0.2742665,-0.4128778,0.7712104,-0.3994301
17,0.2222222,0.1406599,0.8541999,-0.07361822,0.2815191,-0.4181827,0.7695709,-0.3919575
17,0.2333333,0.1356086,0.8556721,-0.07654078,0.2881067,-0.4236326,0.7678544,-0.3846163
17,0.2444444,0.1372662,0.8537879,-0.08236557,0.2932979,-0.429236,0.7657087,-0.3787121
17,0.2555556,0.1351311,0.8543962,-0.0866727,0.2977527,-0.4339528,0.7641117,-0.3730436
17,0.2666667,0.132653,0.8548661,-0.09045448,0.3023933,-0.4392045,0.7614332,-0.3686153
17,0.2777778,0.1307084,0.8552047,-0.09392688,0.3059544,-0.4452377,0.7574689,-0.3666008
17,0.2888889,0.1280833,0.8557497,-0.09692522,0.3106472,-0.4514562,0.7525723,-0.3651309
17,0.3,0.1257685,0.8559029,-0.1002962,0.3162134,-0.4545973,0.7501099,-0.3615047
17,0.3111111,0.1225414,0.8549167,-0.1020228,0.3218534,-0.4554907,0.74934,-0.3569708
17,0.3222222,0.1213567,0.8543736,-0.1058813,0.3271636,-0.4572266,0.7484702,-0.3517102
17,0.3333333,0.1196102,0.8536623,-0.1087537,0.3318542,-0.4575688,0.7488632,-0.3459879
17,0.3444445,0.1176665,0.8535695,-0.1118629,0.3359806,-0.4582991,0.7488914,-0.3409411
17,0.3555556,0.1161498,0.8533177,-0.1146976,0.3380468,-0.4592395,0.7491034,-0.3371461
17,0.3666667,0.1145143,0.8533193,-0.1174183,0.3383784,-0.4614957,0.7485173,-0.3350279
17,0.3777778,0.1128863,0.8531708,-0.1203223,0.338038,-0.4629232,0.7484784,-0.3334855
17,0.3888889,0.1117226,0.8523968,-0.1237834,0.3379928,-0.461578,0.7502441,-0.3314216
17,0.4,0.1108144,0.8524311,-0.1250027,0.3363601,-0.4672496,0.7475981,-0.3311146
17,0.4111111,0.1097652,0.8525026,-0.1285207,0.3357076,-0.4721819,0.7452179,-0.3301438
17,0.4222222,0.1088699,0.8513836,-0.1309162,0.3365367,-0.4680079,0.7489849,-0.3267004
17,0.4333333,0.1076174,0.8512483,-0.1331375,0.3363483,-0.4678108,0.7501429,-0.3245128
17,0.4444444,0.1066852,0.8506514,-0.1352696,0.335639,-0.4674548,0.7515802,-0.3224279
17,0.4555556,0.105917,0.8500531,-0.137449,0.3340034,-0.4674719,0.7527835,-0.3212922
17,0.4666667,0.1047706,0.8498529,-0.1393052,0.3325115,-0.4684951,0.7529147,-0.321042
17,0.4777778,0.1035553,0.8493338,-0.1411352,0.3308954,-0.4697722,0.75234,-0.3221909
17,0.4888889,0.1028542,0.8485969,-0.1433819,0.3282378,-0.4719766,0.7506934,-0.3255115
17,0.5,0.1014771,0.8474857,-0.1461922,0.3248766,-0.4738073,0.7489277,-0.3302563
17,0.5111111,0.1000136,0.8459042,-0.1500627,0.3219914,-0.4685951,0.7517202,-0.3341509
17,0.5222223,0.1012574,0.8443236,-0.1527723,0.3177152,-0.46213,0.7568334,-0.3357023
17,0.5333334,0.0997356,0.8446348,-0.153445,0.3125276,-0.4737497,0.749195,-0.3414596
17,0.5444446,0.09903303,0.8446599,-0.1548461,0.3089732,-0.4817894,0.7438627,-0.3450836
17,0.5555557,0.09882611,0.843549,-0.1579852,0.3062295,-0.4782143,0.7471267,-0.3454509
17,0.5666668,0.09815846,0.8429353,-0.1601539,0.302994,-0.4789637,0.7471657,-0.347177
17,0.577778,0.09782661,0.8427835,-0.1618828,0.3000568,-0.48205,0.7462455,-0.3474355
17,0.5888891,0.09722959,0.8420444,-0.1638466,0.2968724,-0.483103,0.7466486,-0.347842
17,0.6000003,0.09726211,0.841875,-0.1660185,0.2935808,-0.4838862,0.7476792,-0.347333
17,0.6111114,0.0971667,0.8415397,-0.1678939,0.2904995,-0.4853153,0.7479655,-0.3473136
17,0.6222225,0.09721452,0.8412873,-0.1699679,0.2880046,-0.4862674,0.7482659,-0.3474126
17,0.6333337,0.09740224,0.8408165,-0.1719381,0.2866031,-0.4859505,0.7491057,-0.3472051
17,0.6444448,0.09772174,0.8404804,-0.1740285,0.2852444,-0.4857607,0.7497856,-0.3471221
17,0.655556,0.09846844,0.8403308,-0.1761546,0.2845724,-0.4856117,0.749792,-0.3478674
17,0.6666671,0.09872223,0.8398499,-0.1779023,0.2829725,-0.4859612,0.749924,-0.3483996
17,0.6777782,0.09968716,0.8398229,-0.179946,0.2818933,-0.4859006,0.750304,-0.3485409
17,0.6888894,0.1006141,0.8395731,-0.1821086,0.2810155,-0.4847191,0.7516568,-0.3479798
17,0.7000005,0.1019818,0.8394558,-0.184286,0.2805551,-0.4828638,0.7536104,-0.3467028
17,0.7111117,0.1030932,0.8392795,-0.1862859,0.2798036,-0.4820644,0.7547129,-0.3460232
17,0.7222228,0.1045998,0.8391074,-0.1881359,0.2797721,-0.4818655,0.755047,-0.3455969
17,0.7333339,0.1061878,0.8388656,-0.1899387,0.2801648,-0.4816992,0.7549743,-0.3456696
17,0.7444451,0.1077389,0.8386048,-0.19172,0.280534,-0.4815942,0.7547925,-0.3459134
17,0.7555562,0.1090953,0.8384334,-0.1935747,0.2815443,-0.4816367,0.7542043,-0.3463158
17,0.7666674,0.1106482,0.8379128,-0.1950213,0.2827356,-0.4815669,0.7539101,-0.3460831
17,0.7777785,0.1124245,0.8376499,-0.1966785,0.2835267,-0.4814001,0.7539721,-0.3455328
17,0.7888896,0.1143796,0.837199,-0.1982148,0.284488,-0.4811011,0.7543374,-0.3443594
17,0.8000008,0.1163499,0.8369185,-0.1997219,0.2851422,-0.4808954,0.7548459,-0.3429886
17,0.8111119,0.1182349,0.8364779,-0.2011171,0.2855389,-0.4809306,0.755206,-0.3418144
17,0.8222231,0.1201938,0.8361874,-0.2025734,0.2856939,-0.4811854,0.7556195,-0.3404099
17,0.8333342,0.1220901,0.8353896,-0.2039174,0.2860959,-0.4811724,0.7560042,-0.3392342
17,0.8444453,0.1241218,0.8346647,-0.2052423,0.2865732,-0.4814164,0.7560521,-0.3383776
17,0.8555565,0.1261538,0.8337523,-0.2065299,0.2870717,-0.4816219,0.7561131,-0.3375252
17,0.8666676,0.1280223,0.8326601,-0.207641,0.2875448,-0.4821475,0.7558011,-0.3370704
17,0.8777788,0.1297181,0.8313605,-0.2088455,0.288301,-0.4826904,0.7554774,-0.3363725
17,0.8888899,0.1315819,0.8300904,-0.2100261,0.2889003,-0.4830844,0.7553932,-0.3354807
17,0.900001,0.1333829,0.828652,-0.2110081,0.28881,-0.4840069,0.7557114,-0.3335063
17,0.9111122,0.1353184,0.8275236,-0.2121643,0.2884775,-0.4850161,0.7560305,-0.3315989
