Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.6567983,1.339965,-0.005304422,0.5619932,-0.292082,0.2633056,-0.7276825
1,0,0.6567983,1.339965,-0.005304422,0.5619932,-0.292082,0.2633056,-0.7276825
1,0.01111111,0.6573167,1.339216,-0.005326319,0.5631119,-0.292233,0.2626015,-0.7270112
1,0.02222222,0.6581562,1.338398,-0.006176654,0.5629053,-0.2882583,0.2671324,-0.7271073
1,0.03333334,0.6583378,1.338174,-0.006987799,0.5607836,-0.2864977,0.2724536,-0.7274681
1,0.04444445,0.6582615,1.33797,-0.007072221,0.5588549,-0.2904293,0.2729527,-0.7272063
1,0.05555556,0.6580794,1.337784,-0.007396895,0.5571961,-0.29325,0.2731925,-0.7272571
1,0.06666667,0.6582979,1.337414,-0.007517554,0.5556719,-0.2936915,0.2737091,-0.7280505
1,0.07777778,0.65839,1.337151,-0.007812396,0.5545512,-0.2947491,0.2729173,-0.7287743
1,0.08888889,0.6583668,1.3369,-0.007639024,0.553897,-0.2970006,0.2693832,-0.7296721
1,0.1,0.6584799,1.336623,-0.007493168,0.5537053,-0.2975575,0.2671262,-0.7304202
1,0.1111111,0.6586877,1.336455,-0.007606268,0.5536347,-0.2967735,0.2666306,-0.7309735
1,0.1222222,0.6588469,1.336609,-0.00748314,0.5544347,-0.2954112,0.266688,-0.730898
1,0.1333333,0.6587962,1.336806,-0.006988548,0.5554453,-0.2955688,0.2656403,-0.7304484
1,0.1444445,0.6587507,1.337366,-0.006559886,0.5566016,-0.2949976,0.2652394,-0.7299447
1,0.1555556,0.6587152,1.337838,-0.006200474,0.557692,-0.2940636,0.2647995,-0.7296489
1,0.1666667,0.6586993,1.338712,-0.005836807,0.5590706,-0.2925624,0.2646628,-0.7292467
1,0.1777778,0.6585662,1.339912,-0.005346265,0.5601008,-0.290933,0.2646016,-0.7291304
1,0.1888889,0.6583753,1.341109,-0.004865941,0.5609454,-0.2903029,0.2639034,-0.7289853
1,0.2,0.6581782,1.342947,-0.004282609,0.5619619,-0.2898002,0.2627639,-0.7288139
1,0.2111111,0.6580445,1.344635,-0.003807925,0.5629399,-0.2880997,0.2622168,-0.7289305
1,0.2222222,0.6578345,1.346807,-0.003144171,0.5640321,-0.2864532,0.2613339,-0.729052
1,0.2333333,0.6575726,1.348998,-0.002528816,0.5647373,-0.2851439,0.2605035,-0.7293165
1,0.2444444,0.6572179,1.351385,-0.001868472,0.5655558,-0.2838639,0.2598665,-0.729409
1,0.2555556,0.6569222,1.354427,-0.00111156,0.566327,-0.2821693,0.2589307,-0.7298007
1,0.2666667,0.6566715,1.357079,-0.0004296526,0.5670445,-0.2809256,0.2573019,-0.7302992
1,0.2777778,0.6563648,1.360009,0.000348907,0.5676343,-0.2794778,0.2553307,-0.731088
1,0.2888889,0.655919,1.363291,0.001161356,0.5682918,-0.2778345,0.2534365,-0.7318622
1,0.3,0.6556221,1.366181,0.001942106,0.5689366,-0.2762478,0.2517871,-0.7325308
1,0.3111111,0.6552131,1.369567,0.002721116,0.5697371,-0.274406,0.2500563,-0.7331936
1,0.3222222,0.6548076,1.373067,0.003511421,0.5705103,-0.2722466,0.2487204,-0.7338516
1,0.3333333,0.6542774,1.3768,0.004533511,0.5713663,-0.270191,0.2467608,-0.7346063
1,0.3444445,0.6535599,1.380157,0.005596373,0.5722796,-0.2681615,0.245342,-0.7351142
1,0.3555556,0.6530133,1.383944,0.00665671,0.5736018,-0.2658736,0.2436928,-0.7354631
1,0.3666667,0.6523244,1.387743,0.007963277,0.5750031,-0.2637502,0.241782,-0.735764
1,0.3777778,0.6515244,1.391721,0.009055406,0.5761917,-0.2615636,0.2401206,-0.7361588
1,0.3888889,0.6508893,1.395693,0.01023007,0.5776277,-0.2589892,0.2386065,-0.7364359
1,0.4,0.6501502,1.399723,0.01123556,0.5785463,-0.2564189,0.2372466,-0.7370533
1,0.4111111,0.6494372,1.403732,0.01237157,0.5794021,-0.2543264,0.2356586,-0.7376152
1,0.4222222,0.6485376,1.408002,0.01345519,0.5799769,-0.2520098,0.2344594,-0.7383404
1,0.4333333,0.6478526,1.412022,0.01453535,0.5808618,-0.2495104,0.2328381,-0.7390065
1,0.4444444,0.6468935,1.416059,0.01580059,0.5817562,-0.2466996,0.231343,-0.7397158
1,0.4555556,0.646117,1.420117,0.01685805,0.5826222,-0.244688,0.2291772,-0.7403762
1,0.4666667,0.6449096,1.424234,0.01804065,0.5835271,-0.2429447,0.2270131,-0.7409041
1,0.4777778,0.6439174,1.428251,0.01907907,0.5843315,-0.2404414,0.2254786,-0.7415552
1,0.4888889,0.6439174,1.428251,0.01907907,0.5843315,-0.2404414,0.2254786,-0.7415552
1,0.5,0.6430389,1.432434,0.02020431,0.5851597,-0.2379845,0.2239199,-0.7421666
1,0.5111111,0.6421651,1.436078,0.02115351,0.5858245,-0.2363963,0.2225135,-0.7425727
1,0.5222223,0.6398653,1.443945,0.0232817,0.5870171,-0.2330204,0.2198509,-0.7434906
1,0.5333334,0.6398653,1.443945,0.0232817,0.5870171,-0.2330204,0.2198509,-0.7434906
1,0.5444446,0.6381903,1.451484,0.02537674,0.5885769,-0.2280974,0.2182852,-0.7442449
1,0.5555557,0.6381903,1.451484,0.02537674,0.5885769,-0.2280974,0.2182852,-0.7442449
1,0.5666668,0.6368924,1.455238,0.02628997,0.5895495,-0.2256558,0.2172607,-0.7445191
1,0.577778,0.63599,1.458914,0.02726392,0.5902982,-0.2236663,0.2157957,-0.7449522
1,0.5888891,0.6344787,1.463806,0.02867272,0.5915706,-0.2207617,0.2140865,-0.7453023
1,0.6000003,0.6338654,1.466093,0.0293208,0.5920733,-0.2196912,0.2131637,-0.7454838
1,0.6111114,0.6319129,1.472198,0.03118492,0.5936165,-0.2165515,0.2109306,-0.7458104
1,0.6222225,0.6307911,1.475598,0.03219718,0.5943279,-0.214471,0.2100336,-0.746098
1,0.6333337,0.6295577,1.478856,0.03323006,0.5951679,-0.2128072,0.2081744,-0.746426
1,0.6444448,0.6280975,1.482107,0.03447171,0.5958489,-0.210603,0.2067098,-0.7469146
1,0.655556,0.6269791,1.485331,0.03549249,0.5960914,-0.2080482,0.2055039,-0.7477694
1,0.6666671,0.6258694,1.488463,0.03639011,0.5962352,-0.2061362,0.20393,-0.7486148
1,0.6777782,0.6258694,1.488463,0.03639011,0.5962352,-0.2061362,0.20393,-0.7486148
1,0.6888894,0.6247365,1.49168,0.03731612,0.5959262,-0.2051245,0.2012223,-0.7498703
1,0.7000005,0.6237214,1.494877,0.03824579,0.5960649,-0.2036428,0.1987129,-0.7508326
1,0.7111117,0.6215149,1.500811,0.04039588,0.5969435,-0.199955,0.1944281,-0.7522461
1,0.7222228,0.6203446,1.503628,0.04175193,0.5976145,-0.1975558,0.1935548,-0.7525724
1,0.7333339,0.619144,1.506569,0.04295851,0.5978436,-0.1947794,0.1938101,-0.7530481
1,0.7444451,0.6178191,1.509351,0.04428564,0.5980125,-0.1925637,0.1931163,-0.7536619
1,0.7555562,0.6166434,1.512213,0.04535027,0.597819,-0.1907596,0.1921256,-0.754527
1,0.7666674,0.6155475,1.514855,0.04651053,0.5975269,-0.1891022,0.1903435,-0.7556264
1,0.7777785,0.6147167,1.517643,0.047386,0.5970845,-0.1869124,0.1885387,-0.7569723
