Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5262241,1.310413,0.01154994,0.2631883,-0.4327072,0.2206398,-0.8335553
1,0,0.5262241,1.310413,0.01154994,0.2631883,-0.4327072,0.2206398,-0.8335553
1,0.01111111,0.5268483,1.30697,0.01182161,0.2712377,-0.4337939,0.2174461,-0.8312461
1,0.02222222,0.5272531,1.303683,0.01227985,0.2784795,-0.4342709,0.2169499,-0.8287283
1,0.03333334,0.5275311,1.299825,0.0134402,0.2870414,-0.437299,0.2154877,-0.8245859
1,0.04444445,0.5273997,1.295442,0.0146578,0.2946371,-0.4415887,0.21541,-0.8196262
1,0.05555556,0.5274101,1.290689,0.01588127,0.3020576,-0.4453233,0.2163648,-0.8146377
1,0.06666667,0.5274063,1.285116,0.01743303,0.3091142,-0.4500772,0.2187696,-0.8087143
1,0.07777778,0.5274394,1.278921,0.01915706,0.315618,-0.4549598,0.2232653,-0.8022153
1,0.08888889,0.5271898,1.271432,0.0212129,0.3215603,-0.4597724,0.2295324,-0.7953134
1,0.1,0.5270928,1.264353,0.02331402,0.3267621,-0.464031,0.2356268,-0.7889117
1,0.1111111,0.5267415,1.255288,0.02586757,0.3311226,-0.4688606,0.2448766,-0.7813854
1,0.1222222,0.5259176,1.245409,0.02880159,0.3361109,-0.4750233,0.2539827,-0.772577
1,0.1333333,0.5246666,1.233804,0.0325703,0.3414714,-0.483182,0.263743,-0.7618216
1,0.1444445,0.5233831,1.223463,0.03572136,0.3453057,-0.4914886,0.2718209,-0.7518752
1,0.1555556,0.5216382,1.210737,0.03942958,0.3463424,-0.5027992,0.2804053,-0.740684
1,0.1666667,0.519868,1.198634,0.04233661,0.340974,-0.5147025,0.2890609,-0.731616
1,0.1777778,0.5183216,1.186132,0.04489373,0.3306109,-0.5264274,0.297489,-0.7246177
1,0.1888889,0.5163699,1.173602,0.04716147,0.3144692,-0.5392013,0.3050425,-0.7192497
1,0.2,0.5145262,1.160953,0.04941821,0.2961167,-0.550717,0.3130693,-0.714852
1,0.2111111,0.5122419,1.148031,0.05180232,0.2778109,-0.5620494,0.3214728,-0.7096315
1,0.2222222,0.5093372,1.13435,0.05422546,-0.2564359,0.5726933,-0.331688,0.7044474
1,0.2333333,0.5059708,1.120528,0.05683443,-0.2351132,0.5814931,-0.3437755,0.6988605
1,0.2444444,0.5014209,1.106129,0.05990538,-0.2150449,0.5890173,-0.3561896,0.6927794
1,0.2555556,0.4975845,1.091646,0.06273444,-0.195117,0.5962467,-0.3683704,0.6860923
1,0.2666667,0.4920498,1.077745,0.06568006,-0.1747247,0.6002327,-0.3832635,0.6799273
1,0.2777778,0.4861651,1.063734,0.06883623,-0.1539156,0.6031065,-0.3992477,0.6731818
1,0.2888889,0.4791614,1.050657,0.07245494,-0.1320671,0.6051836,-0.4165944,0.6654024
1,0.3,0.472131,1.037166,0.07620382,-0.1101108,0.6067834,-0.4337963,0.6568944
1,0.3111111,0.4645479,1.024119,0.07956009,-0.08783987,0.6076258,-0.4501454,0.6484165
1,0.3222222,0.4551284,1.011937,0.08346013,-0.06442127,0.6067728,-0.4661663,0.6405978
1,0.3333333,0.4465851,0.9998244,0.08756636,-0.039625,0.6055943,-0.4792385,0.6340472
1,0.3444445,0.4374624,0.9884198,0.09152362,-0.01348346,0.6024262,-0.4910675,0.6290895
1,0.3555556,0.4271981,0.9781994,0.09613577,0.01717892,0.5960854,-0.4956157,0.6314682
1,0.3666667,0.4176968,0.9675083,0.1004156,0.04541272,0.5894127,-0.4999974,0.6328768
1,0.3777778,0.40621,0.9580452,0.1049003,0.07388429,0.5789756,-0.4992777,0.6403515
1,0.3888889,0.3946506,0.9491357,0.1087515,0.1014983,0.5654006,-0.4957556,0.6513422
1,0.4,0.3831319,0.9416573,0.1125956,0.1290377,0.5483454,-0.4914229,0.6642063
1,0.4111111,0.3723318,0.9339355,0.1162784,0.1565753,0.5305654,-0.4878643,0.6752577
1,0.4222222,0.361499,0.9282641,0.1201797,0.1838537,0.5089053,-0.4828531,0.6885245
1,0.4333333,0.3505611,0.9238926,0.1242815,0.2103928,0.4858584,-0.4763185,0.701995
1,0.4444444,0.3396707,0.9194006,0.1290332,0.2360651,0.4645704,-0.470161,0.7123174
1,0.4555556,0.3279401,0.9166341,0.1340704,0.2576989,0.4435905,-0.4613589,0.7238556
1,0.4666667,0.3155367,0.9141133,0.1396201,0.2748876,0.424556,-0.4522184,0.7346343
