Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
30,0,0.5813761,1.36544,0.01998695,-0.3595101,0.5997118,-0.5516572,0.4547227
30,0.01111111,0.5863167,1.366323,0.01894047,-0.3764299,0.587813,-0.5710651,0.4320428
30,0.02222222,0.5892771,1.368736,0.01867031,-0.3810854,0.5855783,-0.5779259,0.4217506
30,0.03333334,0.5918572,1.372467,0.01853292,-0.3836293,0.5865272,-0.5807866,0.4141272
30,0.04444445,0.5918572,1.372467,0.01853292,-0.3836293,0.5865272,-0.5807866,0.4141272
30,0.05555556,0.5961996,1.382972,0.01782288,-0.3883384,0.5894468,-0.5789728,0.4080884
30,0.06666667,0.5971122,1.39102,0.01746364,-0.3952943,0.5868709,-0.5756875,0.4097671
30,0.07777778,0.5971122,1.39102,0.01746364,-0.3952943,0.5868709,-0.5756875,0.4097671
30,0.08888889,0.5986915,1.40696,0.01749622,0.4186796,-0.5738929,0.5729759,-0.4087213
30,0.1,0.5986699,1.416582,0.01893858,0.4336817,-0.5687188,0.5650757,-0.411301
30,0.1111111,0.5977371,1.427463,0.02086583,0.4484151,-0.564543,0.5537882,-0.4165737
30,0.1222222,0.5977371,1.427463,0.02086583,0.4484151,-0.564543,0.5537882,-0.4165737
30,0.1333333,0.594406,1.450494,0.02485963,0.4735823,-0.5541885,0.5308511,-0.4321944
30,0.1444445,0.5914004,1.463261,0.02673654,0.4865622,-0.5438358,0.520162,-0.4437694
30,0.1555556,0.5914004,1.463261,0.02673654,0.4865622,-0.5438358,0.520162,-0.4437694
30,0.1666667,0.5835522,1.489221,0.03131707,0.5116043,-0.5164981,0.5026863,-0.4677576
30,0.1777778,0.5794268,1.502588,0.0338248,-0.5237427,0.5025594,-0.4933093,0.4793469
30,0.1888889,0.5794268,1.502588,0.0338248,-0.5237427,0.5025594,-0.4933093,0.4793469
30,0.2,0.5740873,1.516029,0.03738883,-0.53473,0.4875338,-0.4827363,0.4932954
30,0.2111111,0.5651703,1.535208,0.04306287,-0.54798,0.4681634,-0.4658384,0.5133573
30,0.2222222,0.5550472,1.554571,0.04914182,-0.5601388,0.4467311,-0.4475134,0.5351707
30,0.2333333,0.5470601,1.567453,0.05385294,-0.567645,0.4294413,-0.4349585,0.5515164
30,0.2444444,0.5390992,1.580631,0.05808405,-0.5749294,0.4115019,-0.4231511,0.5666265
30,0.2555556,0.5297483,1.593344,0.06302845,-0.5812093,0.3922064,-0.4118358,0.5820318
30,0.2666667,0.5201545,1.605423,0.06845963,-0.5867298,0.3724079,-0.4011317,0.5967863
30,0.2777778,0.5097863,1.617267,0.07420315,-0.5923276,0.3515364,-0.391705,0.6100307
30,0.2888889,0.4994128,1.628286,0.08008063,-0.5976704,0.329989,-0.3830792,0.622212
30,0.3,0.4890614,1.639226,0.08577148,-0.6026788,0.3095072,-0.3734841,0.6336349
30,0.3111111,0.4775923,1.649013,0.09212093,-0.6073139,0.2892754,-0.3632921,0.6445995
30,0.3222222,0.4649752,1.65789,0.09941995,0.6114381,-0.27101,0.3515847,-0.6550458
30,0.3333333,0.4528959,1.666267,0.1063197,0.6153222,-0.253794,0.3383641,-0.6651894
30,0.3444445,0.4411384,1.673893,0.1128973,0.6187621,-0.2363935,0.3247857,-0.6751043
30,0.3555556,0.4411384,1.673893,0.1128973,0.6187621,-0.2363935,0.3247857,-0.6751043
30,0.3666667,0.4178368,1.687343,0.1260712,0.6236441,-0.1994456,0.2968197,-0.695117
30,0.3777778,0.4057345,1.693676,0.1328456,0.624903,-0.1819832,0.2824852,-0.7046847
30,0.3888889,0.3925099,1.698452,0.1401574,0.6253049,-0.1658877,0.2673927,-0.7141262
30,0.4,0.3790973,1.702552,0.1473193,0.6257166,-0.1500279,0.2529241,-0.7224956
30,0.4111111,0.3667504,1.70582,0.1541241,0.6263115,-0.1336419,0.2394849,-0.7297401
30,0.4222222,0.3536962,1.708179,0.1613019,0.6266915,-0.1160661,0.2271584,-0.7363324
30,0.4333333,0.3416213,1.710829,0.1681185,0.6266325,-0.09910053,0.2144885,-0.7426341
30,0.4444444,0.3290741,1.71196,0.1750481,0.6255947,-0.08327347,0.2023474,-0.748834
30,0.4555556,0.3171227,1.712483,0.181577,0.6242608,-0.06951585,0.1899505,-0.7545759
30,0.4666667,0.3171227,1.712483,0.181577,0.6242608,-0.06951585,0.1899505,-0.7545759
30,0.4777778,0.2933355,1.712252,0.1944635,0.6209414,-0.04449171,0.1644513,-0.7651196
30,0.4888889,0.2813165,1.710544,0.2010585,0.6179553,-0.03120664,0.152125,-0.7707239
30,0.5,0.2704685,1.70854,0.2068764,0.6141442,-0.01708102,0.1408149,-0.7763416
30,0.5111111,0.2599556,1.705963,0.2126101,0.6099569,-0.002438635,0.1290607,-0.7818505
30,0.5222223,0.2496524,1.702931,0.2182944,0.6053819,0.0116975,0.1178261,-0.7870787
30,0.5333334,0.2397066,1.699222,0.2238274,0.6008989,0.02448639,0.1073228,-0.7917088
30,0.5444446,0.2397066,1.699222,0.2238274,0.6008989,0.02448639,0.1073228,-0.7917088
30,0.5555557,0.2236192,1.692344,0.2326347,0.5945792,0.04257992,0.09093338,-0.7977428
30,0.5666668,0.2119658,1.686176,0.2394578,0.5900379,0.05497839,0.07866187,-0.8016514
30,0.577778,0.2026898,1.680194,0.2448234,-0.5861785,-0.06475373,-0.06937889,0.8046045
30,0.5888891,0.1937489,1.674007,0.2500833,-0.581178,-0.07545049,-0.06092257,0.8079776
30,0.6000003,0.1855212,1.667855,0.2547199,-0.5748521,-0.08685612,-0.05228056,0.8119531
30,0.6111114,0.1855212,1.667855,0.2547199,-0.5748521,-0.08685612,-0.05228056,0.8119531
30,0.6222225,0.1701389,1.654557,0.2638457,-0.5615319,-0.1085527,-0.03309307,0.819636
30,0.6333337,0.1629323,1.647169,0.2682945,-0.5559198,-0.1177268,-0.02339275,0.8225244
