Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
17,0,0.5441412,1.304326,-0.001172975,0.3116767,-0.4879234,0.1130513,-0.80747
17,0,0.5441412,1.304326,-0.001172975,0.3116767,-0.4879234,0.1130513,-0.80747
17,0.01111111,0.5440832,1.30407,-0.0004235357,0.3105081,-0.4883979,0.1159297,-0.8072252
17,0.02222222,0.5450572,1.304301,-0.0001668409,0.308769,-0.4849601,0.1218653,-0.8090885
17,0.03333334,0.5457949,1.304929,-0.0002441108,0.3054635,-0.4810138,0.1311974,-0.8112367
17,0.04444445,0.5466383,1.30439,0.0004214868,0.3043344,-0.4809392,0.131436,-0.8116666
17,0.05555556,0.5468148,1.303318,0.00174728,0.3046502,-0.4822279,0.126427,-0.8115791
17,0.06666667,0.5473074,1.302474,0.002595648,0.3045904,-0.4825476,0.123747,-0.8118246
17,0.07777778,0.5476039,1.301305,0.003578067,0.3044754,-0.4840194,0.1184547,-0.811781
17,0.08888889,0.5479673,1.300345,0.004317731,0.3043029,-0.4843506,0.1159971,-0.812003
17,0.1,0.5483391,1.29951,0.005071908,0.3041893,-0.483773,0.1157473,-0.8124255
17,0.1111111,0.548474,1.298662,0.005763985,0.3037156,-0.4825127,0.1173348,-0.8131242
17,0.1222222,0.5487796,1.297787,0.006463006,0.3035474,-0.4815689,0.1190033,-0.8135038
17,0.1333333,0.5490572,1.296874,0.007136956,0.303183,-0.4810438,0.1202659,-0.8137648
17,0.1444445,0.5492995,1.296116,0.007808737,0.3025596,-0.480728,0.1211819,-0.8140475
17,0.1555556,0.5493511,1.29538,0.008485913,0.3013061,-0.4807327,0.121903,-0.8144018
17,0.1666667,0.5493257,1.294725,0.00901521,0.299911,-0.4811063,0.1216214,-0.8147382
17,0.1777778,0.5495458,1.2938,0.009465121,0.2987765,-0.4818547,0.1206971,-0.8148502
17,0.1888889,0.5493624,1.292951,0.01009564,0.2980061,-0.4827757,0.1200053,-0.8146894
17,0.2,0.5492467,1.292302,0.01055578,0.2972534,-0.4826171,0.1211887,-0.814883
17,0.2111111,0.5489248,1.291593,0.01123972,0.2964453,-0.4818618,0.1238965,-0.8152171
17,0.2222222,0.5487285,1.290889,0.01196579,0.2957069,-0.4812179,0.1266977,-0.8154352
17,0.2333333,0.5485594,1.290323,0.01223405,0.2942689,-0.4810803,0.1285955,-0.8157395
17,0.2444444,0.5484241,1.289736,0.01268346,0.2929319,-0.4810462,0.1301287,-0.8159975
17,0.2555556,0.5481443,1.289442,0.01312791,0.2903385,-0.4818833,0.1300625,-0.8164409
17,0.2666667,0.5480109,1.289025,0.0134297,0.2881517,-0.4823557,0.1300962,-0.8169312
17,0.2777778,0.5478286,1.288472,0.01377875,0.2862766,-0.482988,0.1286178,-0.8174508
17,0.2888889,0.5474926,1.28773,0.01419038,0.2849713,-0.4840023,0.1264153,-0.8176504
17,0.3,0.5473984,1.286834,0.01457161,0.2841269,-0.4846108,0.1246166,-0.81786
17,0.3111111,0.5471917,1.286145,0.01476404,0.2830649,-0.4846123,0.1239428,-0.8183296
17,0.3222222,0.5470802,1.285387,0.01482984,0.2823854,-0.4840878,0.1239397,-0.8188752
17,0.3333333,0.5468055,1.284661,0.01494778,0.2815741,-0.4839161,0.1248402,-0.8191192
17,0.3444445,0.5466016,1.284025,0.01493519,0.2807166,-0.4837852,0.1265042,-0.8192354
17,0.3555556,0.5463876,1.283285,0.01479736,0.2800474,-0.4838201,0.1279786,-0.8192148
17,0.3666667,0.5465012,1.282708,0.01464683,0.2795789,-0.4840172,0.1287582,-0.8191364
17,0.3777778,0.5462973,1.28202,0.01450932,0.2793431,-0.4848779,0.1284686,-0.818753
17,0.3888889,0.5460795,1.281281,0.01448988,0.279022,-0.4859864,0.1275735,-0.8183453
17,0.4,0.5459078,1.28065,0.01432765,0.2787655,-0.4875648,0.1260697,-0.8177267
17,0.4111111,0.5455397,1.280516,0.01416443,0.2775595,-0.4886877,0.126024,-0.8174736
17,0.4222222,0.5452307,1.280544,0.0138007,0.2762243,-0.4895875,0.1265528,-0.8173058
17,0.4333333,0.5447427,1.280995,0.01322905,0.2749518,-0.4898013,0.1279202,-0.8173938
17,0.4444444,0.5439039,1.282001,0.0125422,0.2735282,-0.4900599,0.1293633,-0.8174893
17,0.4555556,0.5426748,1.284001,0.01192125,0.2717911,-0.4900624,0.1315245,-0.8177223
17,0.4666667,0.5413989,1.285734,0.01147957,0.2705154,-0.4898872,0.1326174,-0.8180737
17,0.4777778,0.5399213,1.289296,0.0107954,0.2700047,-0.4880278,0.1310133,-0.8196108
17,0.4888889,0.5387273,1.292201,0.01008882,0.2693473,-0.4858064,0.1298223,-0.8213346
17,0.5,0.5374777,1.296796,0.009095989,0.2688088,-0.4821971,0.1265509,-0.8241436
17,0.5111111,0.5361085,1.302298,0.008251958,0.2681843,-0.478163,0.1216459,-0.8274295
17,0.5222223,0.5347931,1.308047,0.00715474,0.2676357,-0.4742509,0.1167623,-0.8305563
17,0.5333334,0.5331233,1.315554,0.006291866,0.2667916,-0.469588,0.1082539,-0.8346199
17,0.5444446,0.531791,1.324011,0.004813679,0.2660612,-0.4647819,0.09757906,-0.8388489
17,0.5555557,0.5302648,1.334076,0.003441811,0.2655907,-0.4603544,0.08395316,-0.8429041
17,0.5666668,0.5284078,1.343733,0.002296776,0.2657043,-0.4567542,0.07096899,-0.8460143
17,0.577778,0.5259709,1.356203,0.000887081,0.2681438,-0.4541788,0.05303325,-0.8479434
17,0.5888891,0.523491,1.367624,-0.0002466887,0.2705425,-0.4508515,0.03795268,-0.8497642
17,0.6000003,0.5206525,1.380705,-0.001814216,0.2753173,-0.4469213,0.02227885,-0.8508615
17,0.6111114,0.5174578,1.39394,-0.003386989,0.2816603,-0.4419095,0.00691469,-0.8516665
17,0.6222225,0.5145565,1.406768,-0.005469471,0.2885129,-0.4364983,-0.008432925,-0.8521493
17,0.6333337,0.5103374,1.420492,-0.006924182,0.2986003,-0.4298149,-0.02280161,-0.8518082
17,0.6444448,0.5063823,1.434411,-0.008971289,0.310153,-0.4223055,-0.03357448,-0.8510793
17,0.655556,0.502132,1.44829,-0.01178941,0.3230893,-0.4147532,-0.04224437,-0.8495931
17,0.6666671,0.4975634,1.46222,-0.01484123,0.3358115,-0.4087312,-0.05043172,-0.8471281
17,0.6777782,0.4927289,1.47591,-0.01791096,0.3476922,-0.40355,-0.0599088,-0.8441969
17,0.6888894,0.4869642,1.489861,-0.02176365,0.3594159,-0.4003505,-0.07045222,-0.8399859
17,0.7000005,0.4811288,1.502606,-0.02619091,0.3706781,-0.3990082,-0.08414042,-0.8344523
17,0.7111117,0.4756814,1.515547,-0.03066826,0.3816007,-0.3967915,-0.09716645,-0.8291539
17,0.7222228,0.4701382,1.526559,-0.03621959,0.3933941,-0.3952915,-0.1107023,-0.8226365
17,0.7333339,0.4647429,1.536947,-0.04211324,0.4072025,-0.3928822,-0.1226672,-0.8153418
17,0.7444451,0.4592791,1.545879,-0.0480345,0.4235496,-0.3903623,-0.1328665,-0.8065789
17,0.7555562,0.4547559,1.553334,-0.05414816,0.4393693,-0.3875959,-0.1383143,-0.7984943
17,0.7666674,0.4498016,1.56096,-0.06013086,0.4547328,-0.3847442,-0.1432671,-0.7903572
17,0.7777785,0.4455334,1.567265,-0.06793989,0.4708819,-0.3828086,-0.1447221,-0.7815264
17,0.7888896,0.4415637,1.572852,-0.07494543,0.4857729,-0.3818114,-0.1475345,-0.7723201
