Test,Traj4,Traj5,Auto4,Auto5
Test1,0.21208000716953485,0.13290264271429192,0.21361598884625713,0.21925245550066003
Test2,0.25166261944202545,0.20612538468010605,0.20146120813625185,0.25795781260323924
Test3,0.25197671627686385,0.18563548322024678,0.21433653438224176,0.22480959046776366
Test4,0.26886154577014165,0.2619143077830258,0.20086839963810696,0.2511628741174998
Test5,0.2077275187376401,0.11113502100473492,0.18791019616633264,0.1913051919640814
Test6,0.2388022800933267,0.14374018457847915,0.20754559511443166,0.16583525585900563
Test7,0.22629484483043957,0.15155360333392537,0.22054296261540587,0.22036524917465425
Test8,0.3414785744377815,0.1959940364512391,0.19348678970116628,0.18283355715183383
Test9,0.2934485975016572,0.14337320352341362,0.17510608983008902,0.17347156100343253
Test10,0.21581989626439138,0.15787865132282827,0.19732596681318312,0.1568350360255604
Test11,0.17715749587292212,0.15519617007079678,0.19524717660800905,0.1701405884559427
Test12,0.1803277864208337,0.1625683293869392,0.22212206289940034,0.20598093502897166
Test13,0.16144977437133573,0.25138501248504475,0.17924656210716006,0.1695331889563491
Test14,0.2247192335581563,0.20732393928775703,0.1580547273530386,0.1775462179639464
Test15,0.20905310780929726,0.24157437487075295,0.16849394694340322,0.18655934537365784
Test16,0.1581244698021557,0.15902169585014556,0.22798414056137348,0.19766857943706495
Test17,0.20773832679033402,0.16438538904713962,0.14146784614036428,0.13705302998798566
Test18,0.20723522155902616,0.15942155149299828,0.1879924545583463,0.1449119608990031
Test19,0.16808073322775957,0.17507459703637415,0.18107493245621858,0.16847090157244488
Test20,0.16278121075887222,0.1521919379648968,0.19642023157321442,0.18263536197333216
