Test,Traj1,Traj2,Traj3,Traj4,Traj5,Auto1,Auto2,Auto3,Auto4,Auto5
Test1,0.30857548849925037,0.1366497867222357,0.28785143681224057,0.27363100471469937,0.2715668385136876,0.2882929379311177,0.2881229937129365,0.24430879198727018,0.22253985964330497,0.22151019966826752
Test2,0.34152994451508917,0.2455487232241634,0.2803295540477492,0.24837600283058908,0.25006709493061957,0.27806726958035927,0.3300546652932195,0.21282183736865884,0.21910925662827083,0.2596234093071323
Test3,0.3224638607057455,0.2275969159537587,0.26604985406024007,0.27948695244763033,0.2657559528999854,0.28421658984931947,0.25606253357662,0.229607213175278,0.2157451234130795,0.2951660824320794
Test4,0.31477861761759407,0.2331028078474658,0.305126248251155,0.2942309980296951,0.3231138913715554,0.21798877904108166,0.22252265541722735,0.1728961291246134,0.19143725868142758,0.25345097353484897
Test5,0.3620910510614334,0.24464046727615743,0.1533104556865252,0.18495071338912952,0.2624206506900624,0.24065794603637924,0.268414869624439,0.18221427917327176,0.22555008986600056,0.21988999088604771
Test6,0.20534025172470838,0.24364492650694733,0.20339993935103415,0.23754876759475188,0.2216564683830895,0.21704225034762759,0.2993635607550854,0.20381302505334437,0.22645946248053303,0.21032884263018556
Test7,0.24753550820090184,0.18713776912664523,0.32736095833590945,0.2399699321328393,0.27298541898204576,0.19805530482041797,0.23174550890478243,0.13788017930714974,0.19622923117743002,0.18277972243356552
Test8,0.1867528056025738,0.19194848076013932,0.2638329411986491,0.3414785744377815,0.28343767039846274,0.20888890541770394,0.281685179767439,0.1264875132059375,0.20817780310852593,0.1796772681040194
Test9,0.18609667490539508,0.15248781196252542,0.21993676033714912,0.2965734607615017,0.26810319322967446,0.20160460884976988,0.23289660881116853,0.15173395015474156,0.19474053271213612,0.14786856351994473
Test10,0.21728639108088824,0.24907120078756154,0.2752816338563265,0.30421925576856435,0.27592951978528246,0.19477676514775233,0.16366611846673346,0.1486750593061808,0.20442302901703605,0.1469531061434949
Test11,0.2258578388236378,0.2873430472503853,0.21566219099669862,0.1731684103640649,0.1365523037888797,0.17650888399173612,0.21577976411084204,0.15961173280542645,0.19077920686512106,0.14172895977029484
Test12,0.18654361635866748,0.2511024210860665,0.19785403387286257,0.2008328301543148,0.20908186369214432,0.18522706520035598,0.1860172464062778,0.14687797923715895,0.1773335486557589,0.18787261609694197
Test13,0.21421383264042898,0.16483769607687968,0.17334006281736578,0.20226327757182144,0.27631063507355985,0.15663199257246044,0.15728485900360414,0.18638162437959305,0.2018560665040545,0.13849166624585477
Test14,0.16415067299983552,0.15244478069975848,0.2175031233419916,0.21177280429263873,0.16503431535757024,0.13877447116467798,0.16918239882695202,0.3029985686658211,0.14497080290615655,0.2442628202404655
Test15,0.25603067594562595,0.13220288104114614,0.26503115926172593,0.27512253472486786,0.17641446894281756,0.22201431669683952,0.15782463980740424,0.15860347197882677,0.1570391780067994,0.13722252596364612
Test16,0.24989745152337983,0.16084753035251917,0.24610403806216483,0.14650635305499124,0.15388008522851468,0.15570631927020415,0.19064573509590896,0.14561438999913348,0.20159509721944227,0.18832950882931626
Test17,0.2862044793304363,0.2952959275659065,0.18438029988647814,0.1989571406268649,0.1796322857684517,0.16729030895043365,0.16093953170719616,0.18707798927969937,0.17805461914209858,0.14253024004664244
Test18,0.1611039947502459,0.12702936618863397,0.19292941935082114,0.1944412536086331,0.22043908644478158,0.17519387619636465,0.16659810114722529,0.16985266144665015,0.17764287714289884,0.13703878803871222
Test19,0.1674544608173645,0.2131249653909359,0.16033083076619686,0.17117500836066696,0.2624522510748627,0.1762286672082103,0.17781586556497145,0.1405917702945247,0.18602772302176532,0.17071812379292892
Test20,0.2922960739572912,0.3243889780752703,0.16248899841581319,0.14455350535335115,0.22065001100714388,0.16883503242040057,0.1619378729950195,0.14295035923325725,0.1751679870812846,0.13833230489006837
