Test,Traj1,Traj2,Traj3,Traj4,Traj5,Auto1,Auto2,Auto3,Auto4,Auto5
Test1,588,535,649,581,514,749,727,746,748,723
Test2,750,743,712,712,609,728,755,743,754,733
Test3,735,762,682,624,646,730,735,750,750,779
Test4,724,716,709,674,575,744,741,755,741,759
Test5,714,651,714,751,612,712,738,771,768,792
Test6,749,748,743,777,683,724,771,739,759,774
Test7,904,720,778,761,626,741,754,756,773,802
Test8,820,718,681,720,637,742,750,763,748,784
Test9,831,703,741,718,538,744,746,758,747,757
Test10,1095,678,690,637,615,757,735,790,736,762
Test11,761,788,780,743,732,730,761,777,752,758
Test12,748,751,793,781,748,743,758,875,761,776
Test13,810,767,780,763,759,733,729,790,759,752
Test14,770,726,757,730,769,733,742,790,747,778
Test15,762,733,810,785,766,740,726,779,746,762
Test16,767,728,773,740,727,756,732,748,738,767
Test17,753,782,738,734,750,768,730,783,758,759
Test18,742,736,755,772,758,757,724,728,759,755
Test19,747,745,767,771,772,739,741,761,746,772
Test20,802,769,724,786,773,759,758,753,751,761
