Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5143354,1.311932,0.02234045,0.3746486,-0.424808,0.2223788,-0.7935517
1,0,0.5143354,1.311932,0.02234045,0.3746486,-0.424808,0.2223788,-0.7935517
1,0.01111111,0.5141133,1.312043,0.02242444,0.3747482,-0.425446,0.2221396,-0.7932298
1,0.02222222,0.5143955,1.312046,0.02212127,0.3746936,-0.4246679,0.2230954,-0.7934043
1,0.03333334,0.5141869,1.312203,0.02170852,0.3739359,-0.4253362,0.2231726,-0.793382
1,0.04444445,0.5141419,1.312099,0.02086182,0.3726904,-0.4254972,0.2220094,-0.7942076
1,0.05555556,0.5151617,1.312147,0.01995401,0.3727938,-0.4258962,0.2188963,-0.7948093
1,0.06666667,0.5155516,1.311396,0.0190905,0.3740319,-0.4268712,0.2157352,-0.7945688
1,0.07777778,0.5159692,1.310364,0.0181253,0.3778913,-0.4286329,0.2123512,-0.7927036
1,0.08888889,0.5166209,1.309256,0.01722527,0.382982,-0.4305482,0.2115504,-0.7894299
1,0.1,0.5171519,1.307597,0.01611865,0.389925,-0.4322127,0.2132148,-0.7846593
1,0.1111111,0.5177161,1.305591,0.01476182,0.398357,-0.433575,0.2178865,-0.7783636
1,0.1222222,0.5180263,1.303406,0.01357543,0.4062436,-0.4346729,0.2233359,-0.7721053
1,0.1333333,0.5185458,1.300437,0.01184881,0.4151783,-0.4358748,0.2331888,-0.7637166
1,0.1444445,0.5186708,1.297308,0.009779647,0.4230576,-0.4374899,0.2442664,-0.7549562
1,0.1555556,0.5189793,1.293292,0.007715233,0.4303529,-0.440459,0.2550944,-0.7454658
1,0.1666667,0.5195193,1.288643,0.005621344,0.4374432,-0.4451938,0.2643661,-0.7352255
1,0.1777778,0.5198667,1.283231,0.00398694,0.4446594,-0.4513474,0.2716864,-0.7243963
1,0.1888889,0.520509,1.277585,0.002415195,0.4522271,-0.457961,0.2780253,-0.7130667
1,0.2,0.5212051,1.270499,0.001437813,0.4602337,-0.4666425,0.2826813,-0.700372
1,0.2111111,0.5217472,1.262174,0.0008155853,0.4679346,-0.4758547,0.2876462,-0.68692
1,0.2222222,0.5223165,1.253915,0.0001984015,0.4749736,-0.4839744,0.293446,-0.6738386
1,0.2333333,0.5226017,1.243634,-0.0004873127,0.4797722,-0.4921138,0.3025804,-0.6603694
1,0.2444444,0.5228707,1.23428,-0.001143299,0.4839197,-0.4998059,0.3121637,-0.6469696
1,0.2555556,0.5226473,1.223617,-0.001634933,0.4850592,-0.5076638,0.3259527,-0.6330481
1,0.2666667,0.5219214,1.213066,-0.001669208,0.4841656,-0.5159256,0.3414701,-0.6187104
1,0.2777778,0.5213262,1.202537,-0.00142513,0.4834113,-0.524609,0.3557672,-0.603762
1,0.2888889,0.5199616,1.191105,-0.0004043858,0.4808321,-0.533244,0.3722634,-0.5881084
1,0.3,0.5183421,1.178873,0.001222671,0.4776904,-0.542097,0.3886277,-0.5717615
1,0.3111111,0.5165759,1.167146,0.003187736,0.4745412,-0.5514629,0.4010345,-0.5566602
1,0.3222222,0.5134411,1.153602,0.007009815,0.4683058,-0.5639287,0.4090246,-0.5434822
1,0.3333333,0.51104,1.140237,0.01002039,0.4629613,-0.5734517,0.4192329,-0.5301545
1,0.3444445,0.506938,1.126406,0.01419574,-0.4549524,0.581444,-0.4310304,0.5188004
1,0.3555556,0.503021,1.113018,0.0181277,-0.4442237,0.5861472,-0.4471712,0.5090527
1,0.3666667,0.4986516,1.099945,0.0222069,-0.4308082,0.5894547,-0.466305,0.4995069
1,0.3777778,0.4939049,1.087269,0.0265687,-0.416708,0.59236,-0.4863921,0.4887604
1,0.3888889,0.4879755,1.075005,0.03207843,-0.399899,0.5951259,-0.5088454,0.4764265
1,0.4,0.4818221,1.063669,0.03888706,-0.3821118,0.600895,-0.52786,0.4629035
1,0.4111111,0.4747677,1.052634,0.04663194,-0.3643709,0.6059701,-0.5461079,0.449222
1,0.4222222,0.4671511,1.042248,0.05427012,-0.3464217,0.6089264,-0.5648144,0.4361024
1,0.4333333,0.4598191,1.03158,0.06203776,-0.329035,0.6091259,-0.5845724,0.4230564
1,0.4444444,0.4518176,1.022067,0.07014785,-0.3116365,0.6053499,-0.6068509,0.4100808
1,0.4555556,0.4434658,1.013961,0.07819784,-0.2931995,0.6009952,-0.628339,0.3975286
