Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.542732,1.326013,0.01828849,0.5610291,-0.3122337,0.2888623,-0.7101514
1,0,0.542732,1.326013,0.01828849,0.5610291,-0.3122337,0.2888623,-0.7101514
1,0.01111111,0.5421782,1.33096,0.01843562,0.5589167,-0.3227406,0.2923051,-0.7056971
1,0.02222222,0.5417125,1.334997,0.01874377,0.5595402,-0.328644,0.292142,-0.7025389
1,0.03333334,0.5418829,1.339779,0.02054592,0.5690662,-0.3293854,0.2835004,-0.6980662
1,0.04444445,0.5416697,1.3441,0.02196162,0.5758953,-0.3298378,0.2795453,-0.6938343
1,0.05555556,0.5410026,1.350419,0.02360263,0.5854803,-0.3254516,0.2760222,-0.6892793
1,0.06666667,0.5398399,1.35749,0.02528069,0.5936449,-0.3213866,0.2749768,-0.6846051
1,0.07777778,0.5379611,1.365783,0.02746063,0.6015872,-0.3160667,0.2747924,-0.6802086
1,0.08888889,0.5359904,1.37398,0.02995053,0.6093719,-0.3106739,0.2746509,-0.6758066
1,0.1,0.5334867,1.38326,0.03254004,0.6175965,-0.3017956,0.2753927,-0.6720512
1,0.1111111,0.5306513,1.393027,0.03599166,0.6257114,-0.2915269,0.2749349,-0.6692594
1,0.1222222,0.5273089,1.403436,0.03968425,0.6329355,-0.2818183,0.2727813,-0.667504
1,0.1333333,0.5238125,1.41377,0.04335595,0.6386563,-0.2718798,0.2690487,-0.6676918
1,0.1444445,0.5203881,1.424241,0.04697008,0.6436566,-0.2623111,0.2648634,-0.668391
1,0.1555556,0.515699,1.435949,0.05149069,0.6476027,-0.2513133,0.2576025,-0.6716347
1,0.1666667,0.5115855,1.44592,0.05526439,0.6505164,-0.2424717,0.2516577,-0.6743178
1,0.1777778,0.5063694,1.456422,0.06028637,0.6530345,-0.2317697,0.243726,-0.6785473
1,0.1888889,0.4998486,1.467334,0.06579256,0.655257,-0.2172973,0.2386254,-0.682992
1,0.2,0.4936548,1.478685,0.07145222,0.6580446,-0.2040556,0.2334376,-0.6861818
1,0.2111111,0.4869724,1.488434,0.07757633,0.6601142,-0.1910444,0.2293225,-0.6893203
1,0.2222222,0.4790498,1.498893,0.08395519,0.6616635,-0.1765582,0.2264543,-0.6926378
1,0.2333333,0.4716419,1.50869,0.09038954,0.6627436,-0.1617342,0.223287,-0.6962441
1,0.2444444,0.4637922,1.517941,0.09762412,0.6632047,-0.146284,0.2204006,-0.7001314
