Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
14,0,0.4932413,1.325508,-0.03739429,0.3826553,-0.399731,0.2697889,-0.7880381
14,0.01111111,0.4935691,1.323787,-0.03737186,0.3862015,-0.3978791,0.2689792,-0.787522
14,0.02222222,0.4942756,1.322274,-0.03708914,0.3905382,-0.3970826,0.2691689,-0.7857184
14,0.03333334,0.4946118,1.320502,-0.03727491,0.3938036,-0.3946285,0.2691959,-0.7853157
14,0.04444445,0.4952762,1.319024,-0.03720836,0.3973852,-0.3933457,0.2695499,-0.7840325
14,0.05555556,0.4959809,1.316974,-0.03741504,0.4013632,-0.3938351,0.2691754,-0.7818863
14,0.06666667,0.49632,1.31487,-0.03747141,0.404874,-0.3945446,0.2697938,-0.7795016
14,0.07777778,0.4968421,1.312875,-0.03780729,0.408011,-0.3953068,0.2707528,-0.7771438
14,0.08888889,0.4975017,1.310221,-0.03810796,0.4124743,-0.397098,0.2721143,-0.7733899
14,0.1,0.4980638,1.306708,-0.0383187,0.4189712,-0.400094,0.2725233,-0.768192
14,0.1111111,0.4989715,1.302748,-0.03871563,0.4265635,-0.402493,0.2732327,-0.7624873
14,0.1222222,0.4997241,1.298566,-0.03913903,0.4344686,-0.4042347,0.2745452,-0.7566084
14,0.1333333,0.5005231,1.292816,-0.03981619,0.4441751,-0.4079442,0.2767375,-0.7481352
14,0.1444445,0.500958,1.287598,-0.04044248,0.4521996,-0.4117629,0.2792837,-0.7402483
14,0.1555556,0.5015034,1.281473,-0.04146817,0.458984,-0.4169506,0.2835934,-0.7314785
14,0.1666667,0.5019567,1.275082,-0.04265037,0.4640188,-0.4221746,0.2892563,-0.7230394
14,0.1777778,0.5025349,1.267903,-0.0439731,0.4684916,-0.4284052,0.2954259,-0.7139385
14,0.1888889,0.5028628,1.25979,-0.04507991,0.4722996,-0.4356741,0.3017109,-0.7043377
14,0.2,0.5034343,1.251906,-0.04616679,0.4759795,-0.4424576,0.3080791,-0.6948109
14,0.2111111,0.5038353,1.242257,-0.0470839,0.4792661,-0.4508552,0.3153453,-0.6838062
14,0.2222222,0.503834,1.232132,-0.04747248,0.4820923,-0.460858,0.3224779,-0.6717178
14,0.2333333,0.5038873,1.221812,-0.04791249,0.4845071,-0.4702065,0.3303367,-0.659573
14,0.2444444,0.5034624,1.210536,-0.04773587,0.4853172,-0.4808202,0.3399053,-0.6463308
14,0.2555556,0.502553,1.198684,-0.04746973,0.4848393,-0.4911888,0.3514815,-0.6325546
14,0.2666667,0.5016963,1.185389,-0.04720271,0.483416,-0.5015559,0.3656998,-0.6172636
14,0.2777778,0.5005309,1.174074,-0.04640749,0.4817896,-0.5098729,0.3788061,-0.6036676
14,0.2888889,0.4988237,1.160725,-0.04481474,0.479376,-0.5176867,0.3964401,-0.5873961
14,0.3,0.4961047,1.146794,-0.04230125,0.4774351,-0.5220794,0.418686,-0.5693776
14,0.3111111,0.4945496,1.132849,-0.04081184,0.4765564,-0.5261639,0.4379889,-0.5515534
14,0.3222222,0.4919226,1.118749,-0.03832808,0.4757805,-0.528312,0.4588405,-0.5329023
14,0.3333333,0.4881881,1.103496,-0.03439016,-0.4747712,0.5291435,-0.4818154,0.512302
14,0.3444445,0.484194,1.087951,-0.03042628,-0.472051,0.5322782,-0.5025973,0.4911657
14,0.3555556,0.4804592,1.07371,-0.02618419,-0.4685762,0.5359984,-0.5197909,0.4721858
14,0.3666667,0.4753374,1.05901,-0.02076212,0.4631954,-0.5408653,0.5379414,-0.4511472
14,0.3777778,0.4696434,1.044146,-0.01470421,0.4575396,-0.5435295,0.5585557,-0.4280758
14,0.3888889,0.4636847,1.029874,-0.008854812,0.4513425,-0.544718,0.5800529,-0.4038699
14,0.4,0.4571883,1.016203,-0.002840482,0.4439161,-0.5420488,0.6063294,-0.3761466
14,0.4111111,0.4495893,1.002477,0.004814893,0.4358812,-0.5391906,0.6335357,-0.3433855
14,0.4222222,0.4416799,0.9913267,0.01278747,0.4268285,-0.5437233,0.6499662,-0.3157946
14,0.4333333,0.4338666,0.9787681,0.0215287,0.4152584,-0.5501325,0.6637758,-0.290373
14,0.4444444,0.4242874,0.9676374,0.03121633,0.400187,-0.5597987,0.6727079,-0.2719188
14,0.4555556,0.4141792,0.9576108,0.04116781,0.3849505,-0.5624429,0.684864,-0.2577448
14,0.4666667,0.405716,0.9461516,0.04951219,0.3719109,-0.5622322,0.6995361,-0.237121
14,0.4777778,0.3943459,0.937392,0.05882274,0.3578248,-0.5516958,0.7211993,-0.2178643
14,0.4888889,0.385151,0.9284927,0.06771327,0.3424376,-0.5451833,0.7400256,-0.1946121
14,0.5,0.3750044,0.9222772,0.07754882,0.3214874,-0.5407197,0.7587259,-0.1691243
14,0.5111111,0.3656362,0.9175228,0.08880888,0.2938542,-0.5465416,0.7697965,-0.1495168
14,0.5222223,0.3556915,0.9136267,0.1001312,0.2679497,-0.5485237,0.7807431,-0.1332854
14,0.5333334,0.345021,0.9092962,0.1111301,0.2483366,-0.5423697,0.7938799,-0.1179778
14,0.5444446,0.3347228,0.9049634,0.1217856,0.230249,-0.5352416,0.8061439,-0.1031208
14,0.5555557,0.3232979,0.9020432,0.1330789,0.211864,-0.526605,0.8179832,-0.09329747
14,0.5666668,0.3128442,0.9004134,0.1441872,0.1890088,-0.5190451,0.8290794,-0.08657601
14,0.577778,0.3024155,0.8987588,0.1551056,0.1644993,-0.5117258,0.839362,-0.0809201
14,0.5888891,0.2924761,0.9002311,0.1655262,0.1367507,-0.5043415,0.8485652,-0.08292225
14,0.6000003,0.282294,0.9006065,0.1763627,0.1115196,-0.4962268,0.8571723,-0.08110536
14,0.6111114,0.2731135,0.9033322,0.1869946,0.08636618,-0.4881507,0.8647025,-0.08086639
14,0.6222225,0.2632986,0.9073027,0.1979483,0.05987901,-0.4813238,0.8701533,-0.08703475
14,0.6333337,0.2537714,0.9118959,0.2084239,0.0316843,-0.4726502,0.8749923,-0.09993285
14,0.6444448,0.2447328,0.9168026,0.2177805,0.004138783,-0.4605391,0.8796539,-0.1187256
14,0.655556,0.2363504,0.9215818,0.2272969,-0.02265545,-0.4454241,0.8847207,-0.1354743
14,0.6666671,0.2283209,0.9274255,0.2363501,-0.04745366,-0.4240177,0.8907256,-0.1567325
14,0.6777782,0.2224441,0.9331084,0.243252,-0.06547266,-0.4030089,0.8959634,-0.1747764
14,0.6888894,0.2165435,0.9397164,0.2511506,0.0839148,0.381843,-0.8998387,0.193506
14,0.7000005,0.2106302,0.9461576,0.2594122,0.1009765,0.3622141,-0.9017421,0.2132272
14,0.7111117,0.2055054,0.9544039,0.2674348,0.1137011,0.3447247,-0.901804,0.2344921
14,0.7222228,0.2004651,0.9628909,0.2755093,0.1226357,0.3287383,-0.9009978,0.2551365
14,0.7333339,0.1954745,0.9715784,0.2835199,0.1324215,0.3120666,-0.8997514,0.2748205
14,0.7444451,0.1918481,0.9810792,0.2907087,0.1371536,0.2956404,-0.8982385,0.2948782
14,0.7555562,0.1879468,0.9903126,0.2978008,0.1444892,0.277215,-0.8962223,0.3147385
14,0.7666674,0.1853954,1.000072,0.30427,0.1506072,0.2571633,-0.8937655,0.3352129
14,0.7777785,0.1831302,1.009637,0.3104902,0.1564907,0.2362728,-0.8906568,0.355551
14,0.7888896,0.1811849,1.019249,0.3164083,0.1626956,0.2154776,-0.8866267,0.37549
14,0.8000008,0.179378,1.030171,0.3227692,0.1674811,0.1941327,-0.8816916,0.3960842
14,0.8111119,0.178093,1.04057,0.3279123,0.1697205,0.17545,-0.8773581,0.4131042
14,0.8222231,0.176091,1.050996,0.3332941,0.1711066,0.1571827,-0.8723649,0.4301112
14,0.8333342,0.174518,1.062232,0.3377885,0.1698985,0.1405629,-0.8672221,0.4464329
14,0.8444453,0.1729917,1.0731,0.3417476,0.1683118,0.1238233,-0.8613382,0.4630718
14,0.8555565,0.1718029,1.08368,0.3455546,0.1668297,0.105797,-0.8542686,0.4808327
14,0.8666676,0.1705876,1.094794,0.3488821,0.165846,0.08704644,-0.845816,0.4995131
14,0.8777788,0.1696641,1.105171,0.352149,0.1631341,0.0682268,-0.8364739,0.518694
