Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
39,0,0.5055798,1.342187,0.002157271,-0.05886631,0.4309597,-0.1850732,0.8812243
39,0,0.5055798,1.342187,0.002157271,-0.05886631,0.4309597,-0.1850732,0.8812243
39,0.01111111,0.5071432,1.338504,0.002903402,-0.06393063,0.4285038,-0.1884529,0.8813529
39,0.02222222,0.5082554,1.336081,0.004305243,-0.06634724,0.4289813,-0.191457,0.8802938
39,0.03333334,0.5102012,1.334791,0.005667284,-0.0667826,0.4284071,-0.1992948,0.8787998
39,0.04444445,0.5126066,1.335497,0.007124305,-0.06027464,0.4298383,-0.2116947,0.8756663
39,0.05555556,0.5138041,1.336139,0.007326469,-0.05246288,0.4306158,-0.2180345,0.8742303
39,0.06666667,0.5149163,1.337636,0.007457986,-0.0428487,0.4319881,-0.2175805,0.8741904
39,0.07777778,0.5159168,1.339684,0.007328257,-0.03077609,0.4339297,-0.2113014,0.8752769
39,0.08888889,0.5163989,1.342489,0.0068634,-0.01913305,0.4360923,-0.200806,0.877003
39,0.1,0.5158413,1.346373,0.006318256,-0.009070493,0.4389361,-0.1842368,0.8793803
39,0.1111111,0.5157987,1.349579,0.005360216,-0.003961019,0.4405024,-0.1704237,0.8814179
39,0.1222222,0.5142991,1.353457,0.004023239,-0.004871391,0.4408346,-0.1526939,0.8844918
39,0.1333333,0.5133999,1.35809,0.001935914,-0.0114086,0.4403927,-0.1390295,0.8869019
39,0.1444445,0.5113536,1.36311,-0.0002992302,-0.02363468,0.4393692,-0.129332,0.8886334
39,0.1555556,0.5102355,1.36747,-0.002709806,-0.03574246,0.4383254,-0.1246603,0.8894116
39,0.1666667,0.5073869,1.373358,-0.005702183,-0.05677384,0.4356421,-0.1251145,0.8895724
39,0.1777778,0.5054806,1.379057,-0.008952305,0.07580461,-0.4319584,0.1310344,-0.8890982
39,0.1888889,0.5027208,1.385379,-0.01231225,0.09509736,-0.4277577,0.1332442,-0.8889465
39,0.2,0.4998456,1.392162,-0.01680332,0.1181782,-0.4214619,0.1383076,-0.8884114
39,0.2111111,0.4970334,1.398941,-0.02083883,0.1386005,-0.4164573,0.1393238,-0.8876611
39,0.2222222,0.4932674,1.406301,-0.02544604,0.1605276,-0.4116935,0.1385114,-0.8863148
39,0.2333333,0.4896196,1.413231,-0.03029874,0.1832035,-0.407288,0.1359686,-0.8843448
39,0.2444444,0.4857994,1.420262,-0.03514415,0.2043085,-0.4033875,0.1325693,-0.8820215
39,0.2555556,0.4809349,1.427777,-0.04114783,0.2281862,-0.4007508,0.1236389,-0.8786599
39,0.2666667,0.4768001,1.434082,-0.04610421,0.2468153,-0.3982781,0.1163961,-0.8757333
39,0.2777778,0.4722299,1.440318,-0.05179346,0.2679718,-0.3960707,0.1060282,-0.871824
39,0.2888889,0.4671561,1.446904,-0.0577971,0.289068,-0.3939151,0.09536537,-0.8672808
