Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
34,0,0.5239567,1.236751,0.01921321,-0.07064615,0.5475634,-0.1867512,0.812593
34,0.01111111,0.5236755,1.236131,0.01911342,-0.0720073,0.5472509,-0.1863601,0.8127737
34,0.02222222,0.5234334,1.23578,0.01886375,-0.07468337,0.545933,-0.1871733,0.8132317
34,0.03333334,0.5226711,1.235807,0.01947494,-0.07821219,0.5487289,-0.1874094,0.8109607
34,0.04444445,0.5227816,1.235265,0.01855549,-0.08195978,0.5449368,-0.1883505,0.8129273
34,0.05555556,0.5224056,1.235243,0.01832339,-0.08576083,0.5446615,-0.1889032,0.8125912
34,0.06666667,0.5221468,1.236362,0.01811713,-0.08805423,0.5448927,-0.1914383,0.811597
34,0.07777778,0.5223547,1.238351,0.01771758,-0.08791998,0.5453326,-0.1945516,0.8105751
34,0.08888889,0.5223598,1.240569,0.01697361,-0.08830161,0.545269,-0.195676,0.8103058
34,0.1,0.5223988,1.242638,0.01625119,-0.08983606,0.5457005,-0.1931923,0.8104426
34,0.1111111,0.5224267,1.245303,0.01503117,-0.09208788,0.5462425,-0.1894341,0.8107118
34,0.1222222,0.5225605,1.24823,0.01383884,-0.09497365,0.5465173,-0.186401,0.8108966
34,0.1333333,0.5227123,1.251665,0.012394,-0.09886898,0.5468956,-0.1828358,0.8109877
34,0.1444445,0.5227561,1.25564,0.01072572,-0.1042439,0.5467684,-0.1796409,0.8111144
34,0.1555556,0.5229557,1.260073,0.008766592,-0.1110035,0.5466216,-0.1766153,0.8109809
34,0.1666667,0.5229815,1.264527,0.006953545,0.1174291,-0.5466232,0.1740426,-0.810631
34,0.1777778,0.5230511,1.26967,0.00492318,0.1246443,-0.546546,0.1715787,-0.8101309
34,0.1888889,0.5230755,1.27567,0.00242959,0.1322844,-0.5464532,0.1692133,-0.8094792
34,0.2,0.5229138,1.282356,-0.000159502,0.1397678,-0.5472532,0.1655693,-0.8084341
34,0.2111111,0.5225128,1.289289,-0.002624154,0.1467511,-0.5489242,0.1601786,-0.8071487
34,0.2222222,0.5221831,1.296654,-0.005552858,0.1537769,-0.5505762,0.1532467,-0.8060607
34,0.2333333,0.5216382,1.304425,-0.008690171,0.1616533,-0.552158,0.1452476,-0.8049179
34,0.2444444,0.5211193,1.311788,-0.01183372,0.1698833,-0.5531157,0.1390312,-0.8036622
34,0.2555556,0.5206056,1.319478,-0.01506156,0.1787701,-0.553977,0.1326488,-0.8022189
34,0.2666667,0.5197751,1.327538,-0.01859931,0.1883733,-0.5545567,0.1263831,-0.8006308
34,0.2777778,0.5189565,1.335721,-0.02224144,0.1984814,-0.5551423,0.1201084,-0.7987466
34,0.2888889,0.517889,1.34413,-0.02625478,0.2086326,-0.5556176,0.1138809,-0.7967387
34,0.3,0.5168936,1.352385,-0.03004792,0.2188983,-0.5561399,0.1076417,-0.7944842
34,0.3111111,0.5155044,1.360964,-0.03388917,0.2286184,-0.5574032,0.1011815,-0.7917055
34,0.3222222,0.5139602,1.36952,-0.03786357,0.2377861,-0.5588945,0.09465982,-0.7887549
34,0.3333333,0.5124928,1.378328,-0.0419191,0.2466155,-0.5600381,0.08809972,-0.7859877
34,0.3444445,0.5107683,1.386642,-0.04630503,0.255545,-0.5606626,0.08128989,-0.7834195
