Test,Traj1,Traj2,Traj3,Traj4,Traj5,Auto1,Auto2,Auto3,Auto4,Auto5,,平均,提案,比較,,分散,提案,比較
Test1,983,892,866,827,823,912,926,906,806,882,,Test1,878.2,886.4,720,Test1,65.17438147,47.67389223
Test2,976,860,873,897,890,922,960,912,885,877,,Test2,899.2,911.2,720,Test2,45.30673239,32.99545423
Test3,919,796,851,862,872,889,869,847,892,951,,Test3,860,889.6,720,Test3,44.17578522,38.77886022
Test4,984,866,867,870,863,842,805,814,867,848,,Test4,890,835.2,720,Test4,52.60703375,25.4106277
Test5,927,822,809,845,838,927,827,837,836,837,,Test5,848.2,852.8,720,Test5,46.2244524,41.6917258
Test6,882,903,863,881,891,929,797,787,882,823,,Test6,884,843.6,720,Test6,14.69693846,60.34732803
Test7,914,827,954,853,836,857,785,790,824,808,,Test7,876.8,812.8,720,Test7,54.89717661,29.13245613
Test8,872,785,835,930,869,895,810,776,834,846,,Test8,858.2,832.2,720,Test8,53.2888356,44.12708919
Test9,888,809,834,900,845,890,805,812,851,817,,Test9,855.2,835,720,Test9,37.98289089,35.47534355
Test10,903,811,832,863,863,831,802,803,894,817,,Test10,854.4,829.4,720,Test10,34.98285294,38.00394716
Test11,822,858,857,832,869,841,833,807,875,794,,Test11,847.6,830,720,Test11,19.70532923,31.54362059
Test12,839,848,859,838,871,844,801,811,841,829,,Test12,851,825.2,720,Test12,14.01784577,18.74033084
Test13,807,820,854,838,865,810,811,815,862,802,,Test13,836.8,820,720,Test13,23.7844487,23.94786003
Test14,821,840,863,828,905,818,796,834,842,852,,Test14,851.4,828.4,720,Test14,33.94554463,21.97271035
Test15,829,792,878,854,886,843,808,799,836,799,,Test15,847.8,817,720,Test15,38.33014479,21.01190139
Test16,833,827,868,823,857,814,828,795,857,857,,Test16,841.6,830.2,720,Test16,19.79393847,27.1237903
Test17,856,796,864,825,881,824,805,778,845,809,,Test17,844.4,812.2,720,Test17,33.8275036,24.73256962
Test18,823,791,868,816,842,823,806,796,843,793,,Test18,828,812.2,720,Test18,28.87040007,20.82546518
Test19,831,797,865,801,865,816,811,797,865,827,,Test19,831.8,823.2,720,Test19,33.03331652,25.73324698
Test20,798,832,847,813,861,817,794,803,850,821,,Test20,830.2,817,720,Test20,25.3317982,21.38924964
