Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5201849,1.314494,-0.009585805,0.3652355,-0.4710585,0.2776707,-0.7533962
1,0,0.5201849,1.314494,-0.009585805,0.3652355,-0.4710585,0.2776707,-0.7533962
1,0.01111111,0.5201319,1.313243,-0.01023446,0.3646248,-0.4679725,0.2785907,-0.7552732
1,0.02222222,0.5199727,1.313225,-0.009963654,0.36292,-0.4710206,0.2807385,-0.7534019
1,0.03333334,0.5190716,1.313492,-0.008569531,0.3608354,-0.4795913,0.278086,-0.7499722
1,0.04444445,0.518968,1.313775,-0.007053316,0.3598613,-0.4881201,0.2757058,-0.7458049
1,0.05555556,0.5185885,1.314259,-0.006457731,0.3579469,-0.4935106,0.2759724,-0.743075
1,0.06666667,0.5187848,1.315308,-0.006589197,0.3537379,-0.4957921,0.2786697,-0.7425651
1,0.07777778,0.5189772,1.316814,-0.007060684,0.348623,-0.4978068,0.2817713,-0.7424657
1,0.08888889,0.5195403,1.319146,-0.008314855,0.3417982,-0.4987185,0.2866452,-0.743161
1,0.1,0.5199696,1.322288,-0.008997016,0.3371149,-0.5005915,0.2898522,-0.742797
1,0.1111111,0.5202885,1.325349,-0.008853808,0.3361307,-0.504318,0.2904024,-0.7405038
1,0.1222222,0.5204515,1.329052,-0.008436002,0.3360523,-0.5084559,0.2905598,-0.7376425
1,0.1333333,0.5204031,1.334519,-0.007154673,0.3407024,-0.5154294,0.2858255,-0.7325013
1,0.1444445,0.5203357,1.338915,-0.006248586,0.3435668,-0.5205437,0.281545,-0.7291972
1,0.1555556,0.5200734,1.344733,-0.005130142,0.3481145,-0.5256851,0.2755927,-0.725617
1,0.1666667,0.5195277,1.352404,-0.003224909,0.3580863,-0.5269648,0.2688349,-0.7223642
1,0.1777778,0.5186475,1.359613,-0.001372874,0.3668591,-0.5266746,0.2652228,-0.7195035
1,0.1888889,0.5175325,1.368278,0.0007660016,0.3790977,-0.522204,0.2636824,-0.7169794
1,0.2,0.5155826,1.377677,0.003819503,0.392132,-0.5170362,0.2605078,-0.7148718
1,0.2111111,0.5138808,1.386674,0.006693266,0.4036106,-0.5132005,0.2554563,-0.713068
1,0.2222222,0.5111322,1.396915,0.0104905,0.4159683,-0.5070863,0.2464833,-0.7134983
1,0.2333333,0.5077407,1.407306,0.0144865,0.4262305,-0.5003212,0.2344394,-0.7162712
1,0.2444444,0.5038192,1.418178,0.0186525,0.4343466,-0.4935322,0.2206377,-0.7204776
1,0.2555556,0.4998183,1.428553,0.02306418,0.4422165,-0.4859921,0.2074488,-0.7247215
1,0.2666667,0.4940485,1.43961,0.02818617,0.4476077,-0.4739184,0.1939707,-0.7330921
1,0.2777778,0.4889921,1.449984,0.03310397,0.4540489,-0.4619866,0.1828316,-0.7395813
1,0.2888889,0.4828042,1.461107,0.03834806,0.4593301,-0.4471707,0.1733268,-0.747671
1,0.3,0.4758935,1.471371,0.04413942,0.464166,-0.4332536,0.1625405,-0.7552628
1,0.3111111,0.4682932,1.481182,0.05131196,0.4688328,-0.4212345,0.1481904,-0.7621003
1,0.3222222,0.4613776,1.489861,0.05797178,0.4730022,-0.4113216,0.1340693,-0.7675343
1,0.3333333,0.4533934,1.498234,0.06562746,0.4765006,-0.4004977,0.117616,-0.7737669
1,0.3444445,0.4446405,1.50606,0.07320105,0.479177,-0.3874348,0.1020643,-0.7809395
1,0.3555556,0.4357584,1.512683,0.08095416,0.4799544,-0.3729548,0.08734027,-0.789253
1,0.3666667,0.4274014,1.519868,0.0879042,0.4799253,-0.3577473,0.0743559,-0.7975963
