Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5204296,1.332757,0.006833918,0.4978477,-0.3691393,0.3096433,-0.7211136
1,0,0.5204296,1.332757,0.006833918,0.4978477,-0.3691393,0.3096433,-0.7211136
1,0.01111111,0.5200875,1.33206,0.007453941,0.4990736,-0.3742536,0.302859,-0.7205111
1,0.02222222,0.5190787,1.331915,0.008139431,0.4978211,-0.3832215,0.2996392,-0.7180055
1,0.03333334,0.5192435,1.332412,0.008768775,0.4974746,-0.3890405,0.2965531,-0.7163957
1,0.04444445,0.5189102,1.332889,0.01000302,0.4968905,-0.3993205,0.2911779,-0.7133432
1,0.05555556,0.5186134,1.332938,0.01087192,0.4983298,-0.4038802,0.288686,-0.7107802
1,0.06666667,0.5192109,1.332826,0.01081848,0.4999702,-0.4037586,0.2908289,-0.7088211
1,0.07777778,0.5193056,1.332923,0.01132053,0.5023413,-0.4045879,0.2920828,-0.7061511
1,0.08888889,0.5191777,1.33345,0.01246255,0.5067206,-0.4067644,0.2933166,-0.7012433
1,0.1,0.5189604,1.33454,0.01401802,0.5110669,-0.4099189,0.2960074,-0.6950947
1,0.1111111,0.5184119,1.336184,0.01549903,0.5137644,-0.4134148,0.299134,-0.6896761
1,0.1222222,0.518142,1.337868,0.01684149,0.5158999,-0.4169105,0.3009639,-0.6851668
1,0.1333333,0.5177887,1.340617,0.01845068,0.5165874,-0.4196737,0.3011558,-0.6828738
1,0.1444445,0.5173975,1.34328,0.02009289,0.5179592,-0.4212648,0.3022943,-0.6803471
1,0.1555556,0.5170263,1.346067,0.02160233,0.5194356,-0.4201648,0.3030087,-0.6795837
1,0.1666667,0.5164171,1.349036,0.02353498,0.5220927,-0.4191909,0.3038138,-0.6777871
1,0.1777778,0.5156376,1.352493,0.02561611,0.5262973,-0.4152888,0.304799,-0.6764938
1,0.1888889,0.5147129,1.356122,0.02833683,0.5311382,-0.4106954,0.3047112,-0.6755536
1,0.2,0.5135156,1.360093,0.03115188,0.535942,-0.40629,0.3031978,-0.6751041
1,0.2111111,0.5125638,1.364451,0.03408082,0.5400685,-0.4016104,0.3013014,-0.6754647
1,0.2222222,0.5109398,1.36936,0.03716145,0.5433956,-0.3959333,0.2999408,-0.6767522
1,0.2333333,0.509597,1.374447,0.03984196,0.5457211,-0.3894271,0.2988925,-0.679116
1,0.2444444,0.5079345,1.379392,0.04300454,0.5483086,-0.3829857,0.297687,-0.681221
1,0.2555556,0.5060759,1.384486,0.04605843,0.5507459,-0.3758307,0.2963633,-0.6838121
