Test,Traj1,Traj2,Traj3,Traj4,Auto1,Auto2,Auto3,Auto4
Test1,851,879,869,857,964,899,852,838
Test2,850,894,830,851,824,862,880,865
Test3,852,848,861,831,873,816,876,854
Test4,855,795,886,878,856,820,882,783
Test5,859,816,977,836,867,821,798,798
Test6,831,788,812,814,849,789,844,817
Test7,834,797,849,848,831,790,807,832
Test8,801,792,830,913,878,812,833,833
Test9,822,818,839,869,874,792,847,788
Test10,808,792,877,846,814,783,838,833
Test11,802,830,874,827,833,776,860,823
Test12,790,856,843,855,826,787,842,813
Test13,787,836,875,859,803,753,809,817
Test14,791,856,843,844,804,791,811,816
Test15,796,823,834,857,800,785,817,809
Test16,795,870,845,848,776,788,852,806
Test17,793,814,836,833,791,787,836,785
Test18,807,816,839,851,786,791,823,804
Test19,797,825,846,867,801,780,842,797
Test20,795,843,844,852,798,801,841,803
Test21,812,813,869,836,779,791,818,813
Test22,789,801,883,837,798,761,806,796
Test23,789,821,831,816,799,821,872,788
Test24,779,815,845,851,792,782,827,794
Test25,778,811,853,853,802,763,869,811
