Test,Traj1,Traj2,Traj3,Traj4,Auto1,Auto2,Auto3,Auto4,,平均,提案,比較,,標準偏差,提案,比較,不偏分散,提案,比較
Test1,0.228451596,0.300346293,0.245991218,0.189554428,0.294949718,0.285899134,0.232470644,0.222037826,,Test1,0.241085884,0.25883933,,Test1,0.046010776,0.036904613,,0.002116991,0.00136195
Test2,0.249576131,0.243771161,0.209089769,0.194974686,0.289697674,0.232431461,0.262250585,0.31711877,,Test2,0.224352937,0.275374623,,Test2,0.026516177,0.036350512,,0.000703108,0.00132136
Test3,0.166445994,0.282745295,0.192761606,0.148974862,0.235435275,0.262762349,0.308335844,0.272108707,,Test3,0.197731939,0.269660544,,Test3,0.059464381,0.030114927,,0.003536013,0.000906909
Test4,0.185794112,0.198258155,0.265496978,0.179365964,0.248325709,0.219397069,0.258670262,0.230826895,,Test4,0.207228802,0.239304984,,Test4,0.039629267,0.017555536,,0.001570479,0.000308197
Test5,0.224922802,0.203982278,0.262007605,0.195457235,0.259389003,0.29458708,0.163779799,0.272569944,,Test5,0.22159248,0.247581457,,Test5,0.029651552,0.057723736,,0.000879215,0.00333203
Test6,0.166830821,0.233533325,0.228852112,0.14062434,0.269590478,0.205017987,0.171512433,0.302645665,,Test6,0.192460149,0.23719164,,Test6,0.046026059,0.059673602,,0.002118398,0.003560939
Test7,0.188809371,0.202198749,0.249301774,0.269718834,0.203800538,0.187750463,0.146001979,0.254972939,,Test7,0.227507182,0.19813148,,Test7,0.038274731,0.04504938,,0.001464955,0.002029447
Test8,0.146368694,0.222564022,0.221938386,0.287466962,0.223263264,0.196433923,0.133208086,0.316688769,,Test8,0.219584516,0.217398511,,Test8,0.057685935,0.076202564,,0.003327667,0.005806831
Test9,0.155410189,0.228023302,0.217428537,0.288026235,0.210266224,0.159422577,0.220596008,0.218152661,,Test9,0.222222066,0.202109368,,Test9,0.05431589,0.02879722,,0.002950216,0.00082928
Test10,0.15537678,0.173795155,0.230126941,0.278254056,0.191204171,0.13215836,0.128380985,0.288237487,,Test10,0.209388233,0.184995251,,Test10,0.055847112,0.074597637,,0.0031189,0.005564807
Test11,0.127782646,0.243668777,0.285000852,0.192152043,0.192931617,0.119552409,0.182352658,0.248106976,,Test11,0.212151079,0.185735915,,Test11,0.067868619,0.052705567,,0.00460615,0.002777877
Test12,0.110624713,0.244153467,0.232343368,0.233458427,0.195231094,0.138268746,0.258713158,0.192197955,,Test12,0.205144994,0.196102738,,Test12,0.063238033,0.049264059,,0.003999049,0.002426947
Test13,0.130671254,0.231924235,0.232668427,0.22523762,0.185115223,0.130046822,0.19583211,0.235323189,,Test13,0.205125384,0.186579336,,Test13,0.049748424,0.043434417,,0.002474906,0.001886549
Test14,0.113744889,0.289881363,0.263714931,0.220314076,0.264576291,0.113709937,0.196275295,0.20483723,,Test14,0.221913815,0.194849688,,Test14,0.077610129,0.062040959,,0.006023332,0.003849081
Test15,0.130878367,0.221012129,0.227128289,0.294203466,0.239743365,0.134963189,0.190250159,0.220255335,,Test15,0.218305563,0.196303012,,Test15,0.067055132,0.045680007,,0.004496391,0.002086663
Test16,0.112981325,0.210304137,0.238759673,0.23829412,0.211013051,0.129005151,0.203904794,0.194168222,,Test16,0.200084814,0.184522804,,Test16,0.059573898,0.037650314,,0.003549049,0.001417546
Test17,0.134874976,0.192520597,0.187030024,0.179940058,0.191395016,0.139253984,0.21527321,0.193461118,,Test17,0.173591414,0.184845832,,Test17,0.026319689,0.032257076,,0.000692726,0.001040519
Test18,0.164916746,0.213445364,0.246725718,0.276693417,0.228309632,0.154209794,0.164426112,0.171759263,,Test18,0.225445311,0.1796762,,Test18,0.047912872,0.033211402,,0.002295643,0.001102997
Test19,0.132435464,0.182252202,0.290537196,0.199326165,0.207871179,0.177820593,0.18901245,0.195668611,,Test19,0.201137757,0.192593208,,Test19,0.066010632,0.01256883,,0.004357404,0.000157975
Test20,0.17349375,0.257381737,0.332193019,0.160835917,0.253243146,0.174521101,0.149046616,0.24442687,,Test20,0.230976105,0.205309433,,Test20,0.07992911,0.051449783,,0.006388663,0.00264708
Test21,0.100964754,0.199460312,0.301386133,0.178400052,0.193142314,0.190997736,0.165982371,0.197212947,,Test21,0.195052813,0.186833842,,Test21,0.082575376,0.014137945,,0.006818693,0.000199881
Test22,0.104610849,0.206535099,0.337510981,0.16044628,0.236348103,0.113777707,0.160346793,0.16267654,,Test22,0.202275802,0.168287286,,Test22,0.09932245,0.050656033,,0.009864949,0.002566034
Test23,0.113215674,0.246617648,0.294536476,0.267788778,0.166996158,0.260715558,0.181868865,0.172683817,,Test23,0.230539644,0.1955661,,Test23,0.080636031,0.04386307,,0.00650217,0.001923969
Test24,0.122561869,0.210171044,0.280354325,0.21467452,0.20302175,0.13433142,0.144260524,0.178381455,,Test24,0.20694044,0.164998787,,Test24,0.064754909,0.031598547,,0.004193198,0.000998468
Test25,0.138345657,0.22054147,0.272223852,0.189262095,0.180612692,0.089735821,0.157240417,0.191093614,,Test25,0.205093268,0.154670636,,Test25,0.056127925,0.045543962,,0.003150344,0.002074253
