Test,Traj1,Traj2,Traj3,Traj4,Auto1,Auto2,Auto3,Auto4
Test1,679,560,662,610,567,649,825,676
Test2,670,660,699,606,685,712,746,621
Test3,691,700,603,636,728,865,941,625
Test4,712,719,681,640,712,852,838,722
Test5,783,748,762,595,743,947,978,713
Test6,758,733,750,638,689,886,836,910
Test7,700,804,715,634,803,872,743,981
Test8,829,811,727,766,745,838,752,833
Test9,775,782,734,783,687,804,828,779
Test10,693,790,745,629,800,797,784,800
Test11,734,820,685,644,803,767,780,808
Test12,689,825,670,680,828,767,797,786
Test13,722,771,734,656,860,844,814,766
Test14,725,798,737,671,772,841,855,768
Test15,730,717,705,710,772,755,783,798
Test16,658,920,660,640,715,800,792,787
Test17,725,787,701,609,682,818,768,761
Test18,709,708,707,716,682,763,826,799
Test19,724,757,748,657,802,760,833,754
Test20,689,800,786,695,670,803,783,766
Test21,715,739,721,664,689,772,810,737
Test22,770,782,750,631,668,855,767,796
Test23,774,817,722,677,716,652,799,805
Test24,735,763,758,652,733,852,765,793
Test25,743,760,780,722,663,873,763,754
