Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
40,0,0.5340427,1.340768,0.04436544,0.399301,-0.4758506,0.4588379,-0.6352894
40,0.01111111,0.5335275,1.341221,0.04381344,0.4012266,-0.470319,0.4544938,-0.6412899
40,0.02222222,0.5336335,1.344308,0.0445441,0.3995781,-0.4764859,0.4511504,-0.6401263
40,0.03333334,0.5327453,1.346964,0.04480754,0.3995581,-0.4777985,0.4482886,-0.6411703
40,0.04444445,0.532146,1.349664,0.04517816,0.4011595,-0.4775042,0.4451047,-0.6426061
40,0.05555556,0.5324486,1.351846,0.0447785,0.4024964,-0.4763592,0.4420554,-0.6447214
40,0.06666667,0.5314708,1.356498,0.04484846,0.4031784,-0.4746806,0.438637,-0.6478603
40,0.07777778,0.5314708,1.356498,0.04484846,0.4031784,-0.4746806,0.438637,-0.6478603
40,0.08888889,0.5306091,1.362886,0.04433629,0.4020241,-0.4705467,0.4350517,-0.6539819
40,0.1,0.5295553,1.366793,0.04442303,0.4019457,-0.4682234,0.432278,-0.6575273
40,0.1111111,0.5287184,1.371882,0.04427762,0.4023986,-0.4652613,0.4291058,-0.6614195
40,0.1222222,0.5274249,1.377048,0.04428701,0.404064,-0.462817,0.4250915,-0.6647029
40,0.1333333,0.5262181,1.382668,0.04462271,0.4067302,-0.4603821,0.4204201,-0.6677318
40,0.1444445,0.5247287,1.388427,0.04506128,0.4102478,-0.4577612,0.4148556,-0.670855
40,0.1555556,0.5234482,1.394233,0.04537814,0.4135365,-0.4548745,0.4095721,-0.6740382
40,0.1666667,0.5218067,1.40003,0.04585051,0.4170789,-0.4514272,0.4038971,-0.6775882
40,0.1777778,0.5201213,1.406652,0.04593287,0.4211322,-0.4474784,0.3972793,-0.6816011
40,0.1888889,0.51837,1.413151,0.0459185,0.4242612,-0.4438882,0.3911501,-0.6855416
40,0.2,0.5163204,1.420283,0.04584238,0.4269996,-0.4402253,0.3846858,-0.6898477
40,0.2111111,0.5143012,1.42716,0.04593144,0.4298006,-0.4366499,0.3786247,-0.6937231
40,0.2222222,0.5121834,1.434286,0.04578857,0.4321902,-0.4325014,0.3727456,-0.6980079
40,0.2333333,0.50982,1.441354,0.04565175,0.4349635,-0.4278643,0.3667268,-0.7023178
40,0.2444444,0.5076042,1.448465,0.04550099,0.4378219,-0.4233949,0.3602818,-0.7065734
40,0.2555556,0.5050077,1.455388,0.04543197,0.4415738,-0.4186279,0.3535236,-0.7104818
40,0.2666667,0.5020449,1.462579,0.04573125,0.4458221,-0.414347,0.3460884,-0.7139901
40,0.2777778,0.4989165,1.46976,0.046101,0.4496933,-0.4101352,0.3388522,-0.7174567
40,0.2888889,0.4959099,1.476655,0.04612616,0.4530256,-0.4062592,0.3316365,-0.7209289
40,0.3,0.4928847,1.483658,0.0460099,0.4559677,-0.402076,0.3243494,-0.7247246
40,0.3111111,0.4896095,1.490469,0.04568873,0.4582545,-0.3984103,0.3168978,-0.7285931
40,0.3222222,0.4863549,1.497238,0.04525416,0.4606155,-0.394526,0.3095894,-0.7323502
40,0.3333333,0.4831119,1.503897,0.0450291,0.4631792,-0.3904174,0.3023437,-0.7359536
40,0.3444445,0.4796442,1.510481,0.0447749,0.4660033,-0.3859705,0.295258,-0.7393852
40,0.3555556,0.4762019,1.516501,0.04459109,0.4695213,-0.3813968,0.2882403,-0.7422962
40,0.3666667,0.4723913,1.522366,0.04452031,0.4733246,-0.3767311,0.2812054,-0.7449569
40,0.3777778,0.4687625,1.528063,0.0441663,0.4769228,-0.3723594,0.2737631,-0.7476275
40,0.3888889,0.4652043,1.533601,0.04386663,0.4800943,-0.3686509,0.2660304,-0.7502224
40,0.4,0.4611443,1.539136,0.04368111,0.482959,-0.3645821,0.258589,-0.752969
40,0.4111111,0.4575949,1.544249,0.04321541,0.4859114,-0.3607625,0.2506561,-0.7555873
40,0.4222222,0.4538022,1.549455,0.04270155,0.48884,-0.3567847,0.2432705,-0.757997
40,0.4333333,0.4501664,1.553964,0.0421652,0.4917197,-0.3536531,0.235479,-0.7600597
40,0.4444444,0.4466778,1.558749,0.04157915,0.4946353,-0.3502741,0.2279442,-0.7620271
40,0.4555556,0.4430888,1.562973,0.04094945,0.4973173,-0.3473589,0.2210686,-0.76364
40,0.4666667,0.4387957,1.56703,0.0405203,0.4997098,-0.3445138,0.2148486,-0.7651408
40,0.4777778,0.4353468,1.570731,0.03989068,0.5019392,-0.3418052,0.2087855,-0.7665735
40,0.4888889,0.4320677,1.574084,0.03919184,0.5044019,-0.3386483,0.2031052,-0.7678831
40,0.5,0.4285987,1.577209,0.03856067,0.5069432,-0.3354239,0.1975333,-0.7690775
40,0.5111111,0.4254062,1.580241,0.03781498,0.5092655,-0.3323367,0.1924609,-0.7701685
40,0.5222223,0.4220192,1.582597,0.03719516,0.5113261,-0.3294985,0.1880409,-0.7711142
40,0.5333334,0.4190386,1.58464,0.03619449,0.5130258,-0.3269975,0.1836688,-0.772103
40,0.5444446,0.4161117,1.586486,0.03528421,0.5140845,-0.32479,0.1795675,-0.7732943
40,0.5555557,0.4135281,1.588096,0.03409694,0.5148869,-0.3225541,0.1756459,-0.774596
40,0.5666668,0.4110866,1.58957,0.03301647,0.5157251,-0.3204771,0.1719125,-0.775737
40,0.577778,0.4088464,1.590596,0.03174023,0.5162312,-0.3185052,0.1685196,-0.7769561
40,0.5888891,0.4070941,1.591043,0.03038368,0.51696,-0.3163808,0.1655595,-0.7779752
40,0.6000003,0.4049847,1.591466,0.02901491,0.518298,-0.3140101,0.1623189,-0.7787281
40,0.6111114,0.403719,1.591362,0.02764427,0.5197572,-0.3125581,0.1601881,-0.7787809
40,0.6222225,0.4021909,1.591396,0.02640231,0.5213429,-0.3111759,0.1574289,-0.7788373
40,0.6333337,0.4009399,1.590897,0.02464589,0.5237182,-0.3105837,0.1544897,-0.7780681
40,0.6444448,0.4000885,1.590047,0.02336915,0.5259783,-0.3108147,0.1521307,-0.7769153
40,0.655556,0.3991929,1.58931,0.02155472,0.5283133,-0.310815,0.1496563,-0.7758106
40,0.6666671,0.3991943,1.587894,0.01913707,0.5307921,-0.311186,0.1479256,-0.7743004
40,0.6777782,0.3989051,1.586661,0.01710942,0.5330292,-0.3111199,0.1459262,-0.7731687
40,0.6888894,0.3990349,1.585054,0.01440955,0.5357389,-0.3112639,0.1447435,-0.7714582
40,0.7000005,0.3992376,1.583031,0.01159507,0.539407,-0.3109264,0.1443888,-0.7691013
40,0.7111117,0.3994023,1.581149,0.008774303,0.5433525,-0.3108398,0.1439427,-0.7664379
40,0.7222228,0.3997763,1.578705,0.005685583,0.5486107,-0.3106536,0.1447439,-0.7626072
