Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5187331,1.323197,-0.001797885,0.4657432,-0.3590455,0.2252184,-0.7768182
1,0,0.5187331,1.323197,-0.001797885,0.4657432,-0.3590455,0.2252184,-0.7768182
1,0.01111111,0.5187419,1.322387,-0.001256883,0.4683745,-0.3607199,0.216645,-0.7768986
1,0.02222222,0.5186766,1.321719,-0.0006691888,0.4706603,-0.3626407,0.2107171,-0.7762531
1,0.03333334,0.5182974,1.320412,-0.0008477792,0.4726852,-0.3631372,0.2052496,-0.7762556
1,0.04444445,0.5180815,1.319891,-0.001226082,0.4731903,-0.363449,0.20348,-0.7762678
1,0.05555556,0.5176736,1.319463,-0.002053916,0.4724795,-0.3625369,0.2050443,-0.7767155
1,0.06666667,0.5172703,1.319039,-0.003530681,0.4709355,-0.3609818,0.2088133,-0.7773731
1,0.07777778,0.5170521,1.318388,-0.004478194,0.4703021,-0.36077,0.210136,-0.7774984
1,0.08888889,0.5164983,1.317218,-0.005920835,0.4706327,-0.3621219,0.2098379,-0.77675
1,0.1,0.5163622,1.315522,-0.00703042,0.47334,-0.3647275,0.2055128,-0.7750404
1,0.1111111,0.5161602,1.313269,-0.008448541,0.4772465,-0.3668383,0.2001747,-0.773043
1,0.1222222,0.5163492,1.311192,-0.009793594,0.4805915,-0.3685014,0.1958175,-0.7712938
1,0.1333333,0.5163332,1.308409,-0.01146353,0.4852626,-0.371235,0.1907462,-0.7683232
1,0.1444445,0.5160615,1.305664,-0.01348667,0.4887505,-0.3743525,0.1875241,-0.7653874
1,0.1555556,0.5160675,1.302879,-0.01613261,0.4909493,-0.3773047,0.1869494,-0.7626663
1,0.1666667,0.5156156,1.300235,-0.01905409,0.4925657,-0.3815015,0.186272,-0.7596962
1,0.1777778,0.5153741,1.297089,-0.02189359,0.4940748,-0.38642,0.1861933,-0.7562418
1,0.1888889,0.5150809,1.293833,-0.0249337,0.4961599,-0.3914631,0.185653,-0.7524062
1,0.2,0.5150218,1.290353,-0.02813991,0.4984708,-0.3960558,0.185518,-0.7484984
1,0.2111111,0.5147349,1.286388,-0.03171092,0.5013713,-0.4007076,0.1860032,-0.743951
1,0.2222222,0.514543,1.282031,-0.03549501,0.5044988,-0.4051602,0.1871139,-0.739131
1,0.2333333,0.5143249,1.277357,-0.03948275,0.5078353,-0.4095097,0.1879118,-0.7342304
1,0.2444444,0.514149,1.272594,-0.04347888,0.5112171,-0.4136455,0.1886827,-0.7293513
1,0.2555556,0.5138666,1.267243,-0.04779321,0.5145615,-0.4184276,0.1887564,-0.7242346
1,0.2666667,0.5134452,1.261663,-0.05221067,0.5170591,-0.424594,0.1882102,-0.7189901
1,0.2777778,0.512956,1.256244,-0.05665859,0.5187724,-0.4310558,0.1883197,-0.713864
