Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
10,0,0.5650626,1.376026,0.2876469,0.1950086,0.003308363,0.5793221,-0.7914206
10,0.01111111,0.5642364,1.376249,0.2882184,0.1952712,0.003103428,0.5787828,-0.7917513
10,0.02222222,0.563295,1.375982,0.2885192,0.1959697,0.003249951,0.5785977,-0.7917134
10,0.03333334,0.5624363,1.375974,0.2889026,0.196676,0.003963925,0.5784466,-0.7916453
10,0.04444445,0.5616336,1.375969,0.2891659,0.1965912,0.004871652,0.5781088,-0.7919081
10,0.05555556,0.5610599,1.376094,0.2893193,0.1947332,0.006659418,0.5782872,-0.7922238
10,0.06666667,0.5610599,1.376094,0.2893193,0.1947332,0.006659418,0.5782872,-0.7922238
10,0.07777778,0.5595518,1.376212,0.2893024,0.1915005,0.009527102,0.5778365,-0.7933107
10,0.08888889,0.5586638,1.376345,0.2891602,0.1896214,0.01080427,0.5770524,-0.7943158
10,0.1,0.5576967,1.376608,0.2891434,0.1868223,0.01261736,0.5765826,-0.7952928
10,0.1111111,0.5567356,1.377208,0.2892369,0.1830488,0.01439245,0.5770546,-0.7957976
10,0.1222222,0.5558431,1.377568,0.2893427,0.1789266,0.01629409,0.5773731,-0.7964673
10,0.1333333,0.5549482,1.378216,0.2892886,0.1728049,0.01753231,0.5770306,-0.7980393
10,0.1444445,0.5536346,1.379187,0.289079,0.165121,0.02014636,0.5754316,-0.8007544
10,0.1555556,0.5536346,1.379187,0.289079,0.165121,0.02014636,0.5754316,-0.8007544
10,0.1666667,0.5520781,1.380173,0.2888102,0.157467,0.02350642,0.5733485,-0.8036935
10,0.1777778,0.5510318,1.380885,0.2887411,0.1524263,0.02627718,0.5705472,-0.8065678
10,0.1888889,0.5500656,1.381618,0.2887828,0.1474094,0.02981929,0.5679193,-0.8092274
10,0.2,0.5489743,1.382141,0.2886698,0.1424708,0.03318107,0.5655586,-0.8116307
10,0.2111111,0.5476863,1.383119,0.2887397,0.1373925,0.03601098,0.563046,-0.8141288
10,0.2222222,0.5461276,1.383892,0.288914,0.1327678,0.03796602,0.5600531,-0.8168671
10,0.2333333,0.5446066,1.384895,0.2890639,0.1277934,0.03994155,0.557246,-0.8194817
10,0.2444444,0.5429507,1.38591,0.2891371,0.1226321,0.04198354,0.554593,-0.8219644
10,0.2555556,0.5412097,1.386896,0.2893063,0.117401,0.04431105,0.5524871,-0.8240216
10,0.2666667,0.5393577,1.388252,0.2893953,0.1126346,0.04738822,0.5508491,-0.8256108
10,0.2777778,0.5373581,1.389091,0.2896267,0.1082926,0.05023039,0.5482271,-0.8277662
10,0.2888889,0.5351576,1.389991,0.2900296,0.1048353,0.05332436,0.5445626,-0.8304322
10,0.3,0.5328929,1.390937,0.2903257,0.1012149,0.05670799,0.540615,-0.8332317
10,0.3111111,0.5309019,1.392142,0.2905409,0.09554651,0.06092752,0.5374795,-0.8356282
10,0.3222222,0.5292444,1.393692,0.2907926,-0.08703369,-0.06594244,-0.5356758,0.837334
10,0.3333333,0.5273865,1.395187,0.2910834,-0.07870452,-0.07082954,-0.5336965,0.8390214
10,0.3444445,0.5256205,1.396739,0.2914649,-0.07022626,-0.07581826,-0.5314086,0.8407882
10,0.3555556,0.5234936,1.398356,0.2921697,-0.06190014,-0.0809318,-0.5282763,0.8429369
10,0.3666667,0.5210971,1.399641,0.2928418,-0.05640429,-0.08518337,-0.5240145,0.8455597
10,0.3777778,0.5186878,1.400825,0.2934992,-0.0513801,-0.08926246,-0.5201391,0.8478488
10,0.3888889,0.5159608,1.401688,0.2941609,-0.04882722,-0.0921061,-0.5154902,0.8505305
10,0.4,0.5130529,1.402575,0.2949483,-0.04611824,-0.09459731,-0.5110015,0.8531131
10,0.4111111,0.5104902,1.40365,0.2956392,-0.04154763,-0.09752086,-0.507332,0.8552062
10,0.4222222,0.5080537,1.404913,0.2961974,-0.03554055,-0.100934,-0.5042507,0.8569016
10,0.4333333,0.5061293,1.406426,0.2966556,-0.02708153,-0.1051355,-0.5025035,0.8577315
10,0.4444444,0.5038172,1.40806,0.2972781,-0.01919172,-0.1092672,-0.5006028,0.858539
10,0.4555556,0.5015907,1.409354,0.298078,-0.01202263,-0.1140507,-0.4980686,0.8595206
10,0.4666667,0.4990202,1.410513,0.2988591,-0.006214041,-0.1182159,-0.4949607,0.8608137
10,0.4777778,0.4959836,1.411248,0.3001127,-0.00222503,-0.1220086,-0.491522,0.8622732
10,0.4888889,0.4930648,1.411808,0.3011133,0.001039136,-0.1261518,-0.4877804,0.8638026
10,0.5,0.4901225,1.412385,0.3023134,0.004116092,-0.1303559,-0.4838027,0.8654047
10,0.5111111,0.4873635,1.413135,0.3033844,0.007928967,-0.1347189,-0.48006,0.8667931
10,0.5222223,0.4845832,1.413802,0.3044378,0.01227759,-0.1386313,-0.477134,0.8677406
10,0.5333334,0.4819802,1.414743,0.3052545,0.01852779,-0.1423079,-0.4748842,0.8682684
10,0.5444446,0.4794648,1.41571,0.3062424,0.02524421,-0.1460561,-0.4726102,0.8687174
10,0.5555557,0.4770152,1.416821,0.3071917,0.03164713,-0.149619,-0.470019,0.869307
10,0.5666668,0.4742208,1.417507,0.3082495,0.03690998,-0.1524896,-0.4666122,0.8704352
10,0.577778,0.4714399,1.418026,0.3093855,0.041494,-0.1549555,-0.4629215,0.8717629
10,0.5888891,0.4682281,1.418405,0.310577,0.04488167,-0.1571984,-0.4589794,0.8732768
10,0.6000003,0.4651259,1.418525,0.3117614,0.04759175,-0.1596774,-0.4551004,0.8747123
10,0.6111114,0.462244,1.418746,0.3130047,0.05044393,-0.1623481,-0.4510883,0.876138
10,0.6222225,0.4594604,1.418922,0.314272,0.05359544,-0.1660859,-0.4475349,0.8770721
10,0.6333337,0.4565896,1.419361,0.3155928,0.05748976,-0.1698676,-0.4442473,0.8777723
10,0.6444448,0.4540446,1.419686,0.3169315,0.06209087,-0.1741877,-0.4422726,0.8776095
10,0.655556,0.4511691,1.420218,0.3182344,0.06711693,-0.1777553,-0.4409927,0.8771681
10,0.6666671,0.4484614,1.420852,0.3195017,0.07294892,-0.1815336,-0.4404548,0.8761983
10,0.6777782,0.4455838,1.42142,0.3206636,0.07750445,-0.1852046,-0.4385577,0.8759905
10,0.6888894,0.4427442,1.421978,0.3218842,0.08133595,-0.1889635,-0.4362758,0.8759798
10,0.7000005,0.4398125,1.422788,0.3230277,0.08301662,-0.1924057,-0.4330965,0.8766503
10,0.7111117,0.4368795,1.423338,0.3243384,0.08533804,-0.1961207,-0.430337,0.8769631
10,0.7222228,0.4339165,1.424061,0.325572,0.08624057,-0.2002139,-0.4271429,0.8775112
10,0.7333339,0.4313734,1.424831,0.3265601,0.08758814,-0.2046419,-0.4242122,0.8777779
10,0.7444451,0.4313734,1.424831,0.3265601,0.08758814,-0.2046419,-0.4242122,0.8777779
10,0.7555562,0.4258161,1.426829,0.3292341,0.08998667,-0.2143388,-0.4202596,0.8771221
10,0.7666674,0.4230049,1.428065,0.3304833,0.09020723,-0.2192862,-0.4188091,0.8765701
10,0.7777785,0.4201344,1.429345,0.3319155,0.09085654,-0.224288,-0.417398,0.8759103
10,0.7888896,0.4174011,1.430998,0.33336,0.09048,-0.2294945,-0.4160388,0.8752471
10,0.8000008,0.4146327,1.432684,0.3347074,0.08754762,-0.2344033,-0.413758,0.8753254
10,0.8111119,0.411999,1.434476,0.3358764,0.08504284,-0.2388381,-0.4116857,0.8753507
10,0.8222231,0.4089436,1.43641,0.3370622,0.07995865,-0.2422101,-0.4098966,0.8757428
10,0.8333342,0.4059436,1.438596,0.3381278,0.07366516,-0.245321,-0.4079799,0.8763238
10,0.8444453,0.4028377,1.44085,0.3393846,0.06851621,-0.2490288,-0.4066943,0.8762933
10,0.8555565,0.3999386,1.443254,0.3408998,0.06099053,-0.2525543,-0.4051306,0.8765647
10,0.8666676,0.3972469,1.445931,0.3424226,0.05378437,-0.2567762,-0.4030522,0.8767681
10,0.8777788,0.3947005,1.448506,0.3440034,0.04743794,-0.2614266,-0.4019256,0.8762771
10,0.8888899,0.3923365,1.451957,0.3454731,0.04230919,-0.2664537,-0.4015231,0.8752095
10,0.900001,0.3901324,1.4558,0.3465732,0.03650066,-0.2710767,-0.4012022,0.8741978
10,0.9111122,0.3878327,1.459179,0.3477382,0.02939414,-0.2757284,-0.4002434,0.87345
10,0.9222233,0.3855743,1.462722,0.3485983,0.02087824,-0.2806873,-0.39952,0.8724463
10,0.9333345,0.3835771,1.46632,0.3492748,0.01225354,-0.2859767,-0.3987108,0.8712617
10,0.9444456,0.3817083,1.469991,0.3496885,0.002982959,-0.2921576,-0.3987581,0.8692681
10,0.9555568,0.3799564,1.473777,0.3498028,-0.005495414,-0.2985343,-0.3993573,0.8668107
10,0.9666679,0.3784489,1.477839,0.349462,-0.01325048,-0.3051484,-0.4007264,0.8637866
10,0.977779,0.3769727,1.481709,0.3490489,-0.02027341,-0.3115562,-0.4021274,0.8607062
10,0.9888902,0.3758218,1.485781,0.3482252,-0.02731026,-0.3187619,-0.4042676,0.8568621
10,1.000001,0.3747814,1.489701,0.3470272,-0.03519993,-0.3262326,-0.4061913,0.8528434
10,1.011112,0.3739201,1.493326,0.3456541,-0.04484592,-0.3337464,-0.4077507,0.8487294
10,1.022224,0.3727515,1.496951,0.3443642,-0.05521311,-0.340784,-0.4089732,0.8447239
10,1.033335,0.3720511,1.50019,0.3424608,-0.06838749,-0.3475395,-0.4095282,0.8407296
10,1.044446,0.3713864,1.503085,0.3402513,-0.08332356,-0.3531929,-0.4086061,0.8374683
10,1.055557,0.3712376,1.506067,0.3376029,-0.0976212,-0.3579464,-0.406978,0.8346936
10,1.066668,0.3714657,1.509136,0.3344495,-0.1096324,-0.3625439,-0.4056018,0.8318833
10,1.077779,0.3720189,1.511971,0.3307993,-0.1207079,-0.3655791,-0.4043218,0.8296418
10,1.08889,0.3724334,1.514653,0.3272719,-0.1315243,-0.3682607,-0.4032332,0.8273382
10,1.100002,0.373229,1.516662,0.3232535,-0.1427612,-0.3706468,-0.4025712,0.8247283
10,1.111113,0.3739003,1.517825,0.3195308,-0.155277,-0.3733709,-0.4028606,0.8210886
10,1.122224,0.3746457,1.519065,0.3155147,-0.1686344,-0.3761721,-0.4028286,0.8171819
10,1.133335,0.3754644,1.51927,0.3117172,-0.1825094,-0.3787994,-0.4035414,0.8126228
10,1.144446,0.3766938,1.519,0.3076686,-0.1948703,-0.3816621,-0.4052014,0.8075712
10,1.155557,0.37797,1.518545,0.3036496,-0.2053978,-0.3846243,-0.407187,0.8025426
10,1.166668,0.3795155,1.517706,0.2994446,-0.21486,-0.386439,-0.4087439,0.7983912
10,1.17778,0.3795155,1.517706,0.2994446,-0.21486,-0.386439,-0.4087439,0.7983912
10,1.188891,0.3828637,1.516001,0.290691,-0.230322,-0.3872887,-0.411029,0.7924736
10,1.200002,0.384526,1.514438,0.2863952,-0.2375225,-0.3856761,-0.4113115,0.7909867
10,1.211113,0.386293,1.512402,0.2821737,-0.2450633,-0.384263,-0.4115057,0.7892712
10,1.222224,0.3879042,1.510041,0.278447,-0.2519543,-0.3827308,-0.4122363,0.7874627
10,1.233335,0.3893541,1.507605,0.2745525,-0.2595851,-0.3813302,-0.4134281,0.7850351
10,1.244446,0.3904544,1.504026,0.2713469,-0.2664879,-0.3782458,-0.4162664,0.782711
10,1.255558,0.3917391,1.501174,0.2675707,-0.2733345,-0.3756605,-0.4190906,0.7800836
10,1.266669,0.3927265,1.497638,0.2646724,-0.2782895,-0.3727543,-0.4231228,0.777545
10,1.27778,0.394156,1.494221,0.2615535,-0.2826976,-0.3707841,-0.4267623,0.7749033
10,1.288891,0.3954352,1.490462,0.2592258,-0.2843423,-0.3691861,-0.4313599,0.7725152
10,1.300002,0.3969379,1.486561,0.2571013,-0.2848271,-0.3681728,-0.435719,0.7703709
10,1.311113,0.3982652,1.482393,0.2552073,-0.2849343,-0.3666906,-0.4407862,0.7681523
10,1.322224,0.3991701,1.47823,0.2537535,-0.2839612,-0.364497,-0.4469008,0.7660207
10,1.333336,0.4002495,1.473969,0.2520868,-0.2839152,-0.3620124,-0.4525687,0.7638853
10,1.344447,0.4009219,1.469701,0.2512868,-0.2829685,-0.3585062,-0.458147,0.7625637
10,1.355558,0.4012877,1.465587,0.2508344,-0.2819663,-0.3545929,-0.4628601,0.7619182
10,1.366669,0.4022519,1.461141,0.250243,-0.281116,-0.3490989,-0.4669275,0.7622877
10,1.37778,0.4029034,1.456956,0.2496672,-0.2797393,-0.3431364,-0.4708091,0.7631135
10,1.388891,0.4034436,1.452878,0.2494961,-0.276673,-0.336167,-0.4746607,0.7649451
10,1.400002,0.4034436,1.452878,0.2494961,-0.276673,-0.336167,-0.4746607,0.7649451
10,1.411114,0.405214,1.444577,0.2500326,-0.2670754,-0.323238,-0.4846485,0.7676612
10,1.422225,0.4056835,1.440741,0.2510076,-0.2609408,-0.3175794,-0.4901549,0.768636
10,1.433336,0.4064177,1.43664,0.2522644,-0.2556472,-0.3124238,-0.4953589,0.7691915
10,1.444447,0.4069968,1.43269,0.2546823,-0.2498471,-0.3078734,-0.5003183,0.769722
10,1.455558,0.4075107,1.428937,0.2565358,-0.2441314,-0.3029814,-0.5048897,0.7705119
10,1.466669,0.4079992,1.425369,0.2589949,-0.2374352,-0.2980158,-0.5092645,0.771661
10,1.47778,0.4084392,1.421903,0.2612998,-0.2313263,-0.2923954,-0.5132099,0.7730516
10,1.488891,0.4087934,1.41863,0.2642926,-0.225166,-0.2863045,-0.5164301,0.7750032
10,1.500003,0.4090699,1.415462,0.2675816,-0.2188562,-0.2799909,-0.5190316,0.777376
10,1.511114,0.4094233,1.412415,0.2711176,-0.2123962,-0.2736417,-0.5209981,0.7801083
10,1.522225,0.4102202,1.409241,0.2746854,-0.2055701,-0.2675523,-0.5232817,0.7825171
10,1.533336,0.4104948,1.406392,0.2787344,-0.1962636,-0.2614289,-0.5261183,0.7850701
10,1.544447,0.4112903,1.403646,0.2821935,-0.1867782,-0.2561175,-0.5293477,0.7869617
10,1.555558,0.4119893,1.401199,0.2859688,-0.1750615,-0.251908,-0.5329541,0.7885783
10,1.566669,0.4127893,1.398656,0.2900861,-0.1645846,-0.2482792,-0.5355228,0.7902434
10,1.577781,0.4134409,1.395922,0.2943474,-0.1557215,-0.2444797,-0.5374686,0.7919015
10,1.588892,0.4138912,1.393034,0.2988578,-0.1486429,-0.2418291,-0.5388575,0.7931309
10,1.600003,0.4139094,1.389913,0.3038345,-0.1444282,-0.2379346,-0.5401126,0.7942329
10,1.611114,0.4138234,1.386738,0.3083018,-0.1407315,-0.2341647,-0.5413226,0.7951927
10,1.622225,0.4130985,1.383349,0.3133242,-0.1381098,-0.2301332,-0.5434089,0.7954063
10,1.633336,0.412661,1.380182,0.3177059,-0.1324462,-0.2275049,-0.5477861,0.794122
10,1.644447,0.4124545,1.377441,0.3218145,-0.1228655,-0.2265798,-0.5547418,0.7910924
10,1.655559,0.412513,1.374961,0.3259656,-0.111521,-0.2260824,-0.562065,0.787739
10,1.66667,0.4124449,1.372546,0.3301149,-0.100807,-0.2251933,-0.5686108,0.7847341
10,1.677781,0.4125552,1.370318,0.3340948,-0.09119758,-0.224222,-0.5744465,0.7819327
10,1.688892,0.4121563,1.367817,0.3382969,-0.08416721,-0.2233102,-0.578697,0.779845
10,1.700003,0.4116748,1.364966,0.3423197,-0.08008528,-0.2222889,-0.5812706,0.7786517
10,1.711114,0.4110373,1.362289,0.3462985,-0.07586225,-0.2210706,-0.5838943,0.7774575
10,1.722225,0.4100802,1.35976,0.3498256,-0.07446951,-0.2185227,-0.5845647,0.7778086
10,1.733337,0.4093452,1.357398,0.3532157,-0.07141666,-0.2163217,-0.5859693,0.7776532
10,1.744448,0.4084385,1.355457,0.3560641,-0.06806532,-0.213909,-0.5877004,0.7773148
10,1.755559,0.4075597,1.353693,0.3588623,-0.06246814,-0.2123039,-0.5914682,0.7753645
10,1.76667,0.4069887,1.35209,0.3615783,-0.05662289,-0.2114483,-0.5951525,0.7732251
10,1.777781,0.4065922,1.350983,0.3638,-0.04850607,-0.2115195,-0.5987314,0.7709912
10,1.788892,0.4060685,1.349935,0.3664505,-0.04162003,-0.2109241,-0.6014923,0.7694062
10,1.800003,0.4055822,1.349205,0.3683204,-0.03465354,-0.2103722,-0.6034326,0.7683825
10,1.811115,0.4049557,1.348553,0.3700724,-0.03147584,-0.2086621,-0.6022648,0.7699004
10,1.822226,0.4041207,1.34775,0.3719813,-0.02936107,-0.2071766,-0.6001009,0.7720717
10,1.833337,0.4033494,1.347132,0.3734112,-0.0301939,-0.2060634,-0.5948897,0.7763584
10,1.844448,0.4027596,1.347043,0.3745691,-0.02936846,-0.2056556,-0.5902484,0.7800322
10,1.855559,0.4024289,1.347321,0.3754272,-0.02647729,-0.2060598,-0.5870965,0.782404
10,1.86667,0.401972,1.34774,0.3764323,-0.02220818,-0.2066041,-0.5853899,0.783671
10,1.877781,0.4021709,1.348994,0.376713,-0.01562888,-0.2090593,-0.5854679,0.7831203
10,1.888893,0.401916,1.349552,0.3775099,-0.01133046,-0.2102325,-0.5842296,0.7838046
10,1.900004,0.4020014,1.350796,0.3775781,-0.008363254,-0.2135158,-0.5835884,0.783432
10,1.911115,0.4019985,1.351743,0.3778398,-0.006537393,-0.2162045,-0.5821468,0.7837843
10,1.922226,0.4019693,1.352938,0.3775696,-0.007474177,-0.218556,-0.5797997,0.784863
10,1.933337,0.4016275,1.354305,0.3768435,-0.01037274,-0.2196267,-0.5774887,0.7862336
10,1.944448,0.4012533,1.355752,0.3760967,-0.01311975,-0.2203639,-0.575623,0.7873535
10,1.955559,0.4007364,1.357645,0.3743792,-0.0185047,-0.2205641,-0.5741189,0.7882871
10,1.966671,0.4006352,1.359585,0.3729709,-0.02122799,-0.2228841,-0.5733956,0.7880923
10,1.977782,0.4006808,1.361523,0.371492,-0.02336065,-0.2255929,-0.5728756,0.7876393
10,1.988893,0.4008729,1.363797,0.3696371,-0.02494178,-0.2294189,-0.572874,0.786486
10,2.000004,0.4010784,1.365974,0.3678052,-0.02672679,-0.2332074,-0.5727988,0.7853671
10,2.011115,0.4011809,1.368472,0.3657033,-0.02934454,-0.2374647,-0.5720161,0.784568
10,2.022226,0.4011809,1.368472,0.3657033,-0.02934454,-0.2374647,-0.5720161,0.784568
10,2.033337,0.4017286,1.373276,0.3608878,-0.03643774,-0.2452508,-0.5677817,0.7849512
10,2.044448,0.401955,1.375688,0.3579669,-0.04175354,-0.2486611,-0.5635287,0.7866763
10,2.055559,0.4025063,1.378444,0.3547132,-0.04617041,-0.2515758,-0.5591601,0.7886177
10,2.06667,0.4031317,1.381617,0.3509138,-0.04990628,-0.25421,-0.5546644,0.7907175
10,2.077781,0.4038018,1.384455,0.3471307,-0.0533855,-0.2567918,-0.5500655,0.7928658
10,2.088892,0.4047755,1.387594,0.3427579,-0.05711324,-0.2600554,-0.5450978,0.7949702
10,2.100003,0.4054224,1.389895,0.3392859,-0.06051525,-0.2624191,-0.5411552,0.7966335
10,2.111114,0.4062728,1.392393,0.3348363,-0.06503642,-0.2653365,-0.5367897,0.798263
10,2.122225,0.4070907,1.39482,0.3306306,-0.06923287,-0.2682098,-0.5331373,0.7993966
10,2.133336,0.4076134,1.397054,0.3261824,-0.07386966,-0.2707434,-0.5305255,0.7998649
10,2.144447,0.4082767,1.399026,0.3216738,-0.07894801,-0.2730657,-0.5279288,0.8003085
10,2.155558,0.408943,1.401038,0.3170751,-0.08406314,-0.2754769,-0.5249553,0.8009168
10,2.166669,0.4099125,1.402794,0.3120845,-0.08985171,-0.277707,-0.5218574,0.8015425
10,2.17778,0.4110004,1.404683,0.3068555,-0.09518234,-0.2796396,-0.5188089,0.802234
10,2.188891,0.4123,1.40631,0.3009755,-0.1004158,-0.2819525,-0.5159106,0.8026554
10,2.200002,0.4133316,1.407294,0.2963157,-0.1050837,-0.2833503,-0.5134248,0.8031594
10,2.211113,0.41449,1.408507,0.2910254,-0.1103662,-0.2849418,-0.5105199,0.8037394
10,2.222224,0.4156647,1.409179,0.2857453,-0.1153576,-0.2855186,-0.5082568,0.8042679
10,2.233335,0.4167617,1.410135,0.2802842,-0.1205687,-0.2859675,-0.5057238,0.8049405
10,2.244446,0.4178126,1.410782,0.2750861,-0.1260053,-0.2858924,-0.5031319,0.8057582
10,2.255557,0.4178126,1.410782,0.2750861,-0.1260053,-0.2858924,-0.5031319,0.8057582
10,2.266668,0.4198669,1.411016,0.2643707,-0.1381445,-0.2833846,-0.4963159,0.8088757
10,2.277779,0.4210929,1.410988,0.2590973,-0.1437292,-0.2812052,-0.492603,0.8109303
10,2.28889,0.4223479,1.410883,0.2536454,-0.1487835,-0.2787221,-0.4895842,0.8127022
10,2.300001,0.423469,1.410377,0.2485862,-0.1532963,-0.2759279,-0.4875262,0.814053
10,2.311112,0.4247829,1.409919,0.2432168,-0.1578618,-0.2739273,-0.4859546,0.8147954
10,2.322223,0.425916,1.408947,0.2382342,-0.1613147,-0.2715883,-0.4865056,0.8145732
10,2.333334,0.426837,1.407524,0.2333805,-0.1653906,-0.2692065,-0.4876557,0.8138584
10,2.344445,0.427689,1.40599,0.2288011,-0.16986,-0.2664041,-0.4888633,0.8131354
10,2.355556,0.4288465,1.404225,0.2241707,-0.1741851,-0.2638122,-0.4901374,0.8122979
10,2.366668,0.4300689,1.402209,0.2196248,-0.178778,-0.2612644,-0.4908205,0.8117108
10,2.377779,0.4310241,1.399904,0.2153391,-0.1836814,-0.2578481,-0.4918309,0.8110967
10,2.38889,0.432144,1.397393,0.210955,-0.187984,-0.2538142,-0.4928507,0.8107642
10,2.400001,0.4330883,1.394991,0.2066035,-0.1919751,-0.2493274,-0.4939786,0.8105347
10,2.411112,0.4338509,1.391932,0.2023706,-0.1947479,-0.2430353,-0.4957559,0.8106993
10,2.422223,0.4344858,1.38937,0.1983652,-0.1973089,-0.2375649,-0.4973935,0.8106984
10,2.433334,0.4353213,1.386409,0.1942374,-0.1990386,-0.2309467,-0.4994304,0.8109357
10,2.444445,0.4361284,1.38344,0.1903451,-0.2006666,-0.2248402,-0.5015405,0.8109482
10,2.455556,0.4369876,1.38007,0.1868638,-0.200243,-0.218495,-0.5043516,0.8110439
10,2.466667,0.4378589,1.376652,0.1834314,-0.1994687,-0.2119094,-0.5074617,0.8110421
10,2.477778,0.4387509,1.373278,0.1800734,-0.1980379,-0.2049322,-0.5106965,0.8111552
10,2.488889,0.4387509,1.373278,0.1800734,-0.1980379,-0.2049322,-0.5106965,0.8111552
10,2.5,0.440811,1.366255,0.1737906,-0.1947807,-0.1905137,-0.5168375,0.8115689
10,2.511111,0.4416987,1.362574,0.1708835,-0.1928755,-0.1823483,-0.5200973,0.811817
10,2.522222,0.4426383,1.358857,0.1680615,-0.1912025,-0.1742518,-0.5236408,0.8117132
10,2.533333,0.4434305,1.354783,0.1656359,-0.1899812,-0.1657946,-0.5273706,0.8113566
10,2.544444,0.444221,1.350496,0.16345,-0.1896314,-0.1573801,-0.5307885,0.8108854
10,2.555555,0.4448752,1.346067,0.16141,-0.1895401,-0.1484729,-0.5344284,0.8101955
10,2.566666,0.4453758,1.341786,0.1592472,-0.1889347,-0.1392783,-0.5382259,0.8094554
10,2.577777,0.4459318,1.337417,0.1571735,-0.1868995,-0.1293035,-0.5424982,0.8087305
10,2.588888,0.4464837,1.333413,0.1551494,0.1843291,0.120199,0.5462943,-0.8081692
10,2.599999,0.4473503,1.328794,0.1533116,0.1800062,0.1101529,0.5492544,-0.808569
10,2.61111,0.4479047,1.325059,0.1519307,0.1775693,0.1022918,0.5512015,-0.8088155
10,2.622221,0.4482619,1.320706,0.1506096,0.1753431,0.09363514,0.5529269,-0.8091719
10,2.633332,0.4486986,1.316201,0.1495773,0.1742249,0.08545688,0.5549452,-0.8089368
10,2.644443,0.4490326,1.311508,0.1488028,0.1724728,0.07808092,0.5571677,-0.80853
10,2.655554,0.4494227,1.306681,0.1481176,0.1700568,0.07093458,0.5595543,-0.8080519
10,2.666665,0.4498537,1.302028,0.1475825,0.16473,0.06474371,0.5642117,-0.806435
10,2.677776,0.4503001,1.297637,0.1468295,0.1591205,0.0584296,0.5692021,-0.8045344
10,2.688887,0.4507598,1.29328,0.1461842,0.1526105,0.05260639,0.5750704,-0.8020203
10,2.699998,0.4513312,1.288768,0.146138,0.1453055,0.0481711,0.5828476,-0.7980317
10,2.711109,0.4517,1.283832,0.1464721,0.1413555,0.04387256,0.5885931,-0.7947654
10,2.72222,0.4519094,1.278762,0.1467858,0.1380117,0.03951239,0.5938645,-0.7916543
10,2.733331,0.4519488,1.27327,0.1477014,0.1363142,0.03511739,0.5977288,-0.7892435
10,2.744442,0.452017,1.267946,0.1483735,0.1342259,0.03024641,0.600807,-0.7874639
10,2.755553,0.4519134,1.263028,0.1491277,0.1303301,0.02366112,0.6013203,-0.7879518
10,2.766664,0.4518346,1.258714,0.1495669,0.1249317,0.01629195,0.6038334,-0.7870908
10,2.777775,0.4515434,1.254867,0.1499969,0.1163119,0.008341726,0.6060836,-0.7868066
10,2.788886,0.4517639,1.250921,0.150726,0.1067092,0.002733506,0.6080381,-0.786699
