Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
9,0,0.5472742,1.473111,0.3064298,0.2421482,0.08000392,0.5158576,-0.8178353
9,0,0.5472742,1.473111,0.3064298,0.2421482,0.08000392,0.5158576,-0.8178353
9,0.01111111,0.5486658,1.471208,0.3067054,0.2361346,0.07980691,0.5245183,-0.8140957
9,0.02222222,0.5499185,1.469677,0.3058081,0.2269099,0.0787154,0.5320741,-0.8119193
9,0.03333334,0.5510456,1.468359,0.3056427,0.2191321,0.0745218,0.5377722,-0.8106964
9,0.04444445,0.5520726,1.467004,0.3061308,0.2152339,0.07019418,0.5391893,-0.8111855
9,0.05555556,0.5523028,1.463922,0.3066632,0.2163348,0.06393567,0.5376789,-0.8124117
9,0.06666667,0.5522045,1.462254,0.3070338,0.218173,0.06021615,0.5357124,-0.8135028
9,0.07777778,0.5520861,1.460417,0.3076194,0.2198947,0.05584603,0.5334426,-0.8148414
9,0.08888889,0.5519251,1.458604,0.3076696,0.2208536,0.04871325,0.5285062,-0.8182493
9,0.1,0.5519666,1.457412,0.3073385,0.2172675,0.04149358,0.523433,-0.8228554
9,0.1111111,0.5524871,1.456699,0.3066154,0.2095339,0.03552999,0.5192897,-0.8277508
9,0.1222222,0.5531703,1.456095,0.3061831,0.2017079,0.03070778,0.5168374,-0.8314145
9,0.1333333,0.5536145,1.455518,0.3057286,0.1922528,0.02688687,0.5152174,-0.8347855
9,0.1444445,0.5536495,1.454235,0.305878,0.1863839,0.02423839,0.5144581,-0.8366639
9,0.1555556,0.5534621,1.4527,0.3062057,0.1821027,0.02237711,0.5147193,-0.8374974
9,0.1666667,0.5524029,1.450294,0.307126,0.1826605,0.02213198,0.5171766,-0.8358671
9,0.1777778,0.5511057,1.448012,0.3080088,0.1837933,0.02202206,0.5195208,-0.8341662
9,0.1888889,0.5503183,1.446196,0.3085039,0.1826732,0.02284183,0.5213122,-0.8332721
9,0.2,0.5498332,1.44471,0.3088117,0.1789347,0.02296916,0.5220331,-0.8336284
9,0.2111111,0.5493111,1.444076,0.3086107,0.1725429,0.02322313,0.521445,-0.8353351
9,0.2222222,0.5486196,1.444324,0.3082201,0.1632769,0.02216087,0.5189623,-0.8387656
9,0.2333333,0.5477289,1.44376,0.3082297,0.1573471,0.02138125,0.5173749,-0.8408971
9,0.2444444,0.5458146,1.444004,0.3083076,0.1511968,0.0193483,0.5120103,-0.8453464
9,0.2555556,0.5443574,1.444039,0.3084734,0.1447645,0.01863772,0.5079919,-0.8489051
9,0.2666667,0.5427293,1.444655,0.3086978,0.1366647,0.01967591,0.5030929,-0.8531313
9,0.2777778,0.5411605,1.445315,0.3092467,0.1282124,0.02258486,0.4990733,-0.8567248
9,0.2888889,0.5395066,1.446103,0.3097264,0.1202491,0.02672888,0.4956793,-0.8597254
9,0.3,0.5376509,1.446968,0.3101862,0.1129376,0.02998082,0.4925301,-0.8624154
9,0.3111111,0.534899,1.447872,0.3115444,0.1078265,0.03334945,0.4891541,-0.8648639
9,0.3222222,0.5324183,1.448902,0.3121318,0.1027016,0.03656975,0.4857117,-0.8672942
9,0.3333333,0.5294195,1.450336,0.3129027,0.09791312,0.04068752,0.4835769,-0.8688561
9,0.3444445,0.5260378,1.452124,0.3137429,0.09262318,0.04551202,0.4821638,-0.8699814
9,0.3555556,0.5225934,1.454342,0.3144013,-0.08705145,-0.05133594,-0.4809457,0.8709063
9,0.3666667,0.5189584,1.457005,0.3153764,-0.08133104,-0.05798112,-0.4791698,0.8720205
