Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
10,0,0.5545874,1.465809,0.07495421,0.4171442,-0.2326867,0.417205,-0.7731673
10,0.01111111,0.5561582,1.4616,0.07664859,0.4196732,-0.2404838,0.4234099,-0.7660065
10,0.02222222,0.5577943,1.457169,0.07878226,0.4245101,-0.2499227,0.4274673,-0.7580248
10,0.03333334,0.5592065,1.452647,0.08041102,0.428922,-0.2571779,0.4327161,-0.7500948
10,0.04444445,0.5608718,1.448238,0.08211829,0.4315012,-0.264528,0.437779,-0.743089
10,0.05555556,0.5628299,1.444018,0.08322049,0.4331852,-0.2702538,0.4433179,-0.7367379
10,0.06666667,0.5646771,1.43965,0.08432713,0.433697,-0.2752126,0.4490552,-0.7311049
10,0.07777778,0.5666826,1.435286,0.08498128,0.4334354,-0.27877,0.4548708,-0.7263012
10,0.08888889,0.5683335,1.430858,0.08584304,0.4337146,-0.282845,0.460685,-0.7208742
10,0.1,0.5699037,1.426522,0.08678022,0.4343556,-0.2872263,0.4661519,-0.7152193
10,0.1111111,0.5712661,1.422258,0.08778468,0.4355719,-0.2931761,0.4712141,-0.7087187
10,0.1222222,0.5721777,1.418205,0.08908036,0.4369459,-0.2992849,0.476137,-0.7019975
10,0.1333333,0.573163,1.414493,0.0897828,0.4376127,-0.3042766,0.4811065,-0.6960226
10,0.1444445,0.5742624,1.410626,0.09057598,0.4379027,-0.3084265,0.4862448,-0.6904203
10,0.1555556,0.5752279,1.407166,0.09081331,0.438018,-0.31014,0.4920357,-0.6854591
10,0.1666667,0.5761312,1.403817,0.09112364,0.438407,-0.3103957,0.4984774,-0.6804219
10,0.1777778,0.5770642,1.400553,0.0911421,0.4396548,-0.3095048,0.5055161,-0.6748066
10,0.1888889,0.5780199,1.396813,0.09142452,0.4428203,-0.3053236,0.5141281,-0.6681017
10,0.2,0.5784975,1.394616,0.09167258,0.4442741,-0.3041092,0.5181217,-0.6645961
10,0.2111111,0.5790302,1.392418,0.09181449,0.4467827,-0.3006738,0.5230525,-0.6606032
10,0.2222222,0.5795259,1.390008,0.09195404,0.450454,-0.2948589,0.5291873,-0.6558279
10,0.2333333,0.5800294,1.387936,0.09188206,0.453703,-0.2889251,0.5358084,-0.6508341
10,0.2444444,0.5802338,1.386494,0.09202331,-0.4572225,0.2831346,-0.541958,0.6458047
10,0.2555556,0.5804194,1.385234,0.09234292,-0.4615204,0.2772146,-0.5476885,0.6404595
10,0.2666667,0.5804868,1.384096,0.09263936,-0.4658293,0.2717306,-0.5525684,0.6354792
10,0.2777778,0.5804467,1.383851,0.09276673,-0.4714731,0.2661013,-0.5553601,0.6312514
10,0.2888889,0.5805253,1.383292,0.09298947,-0.4761532,0.2602356,-0.5588303,0.6271079
10,0.3,0.5806819,1.383206,0.09318169,-0.4811277,0.2534934,-0.5609977,0.6241304
10,0.3111111,0.5808383,1.383043,0.09338661,-0.4860804,0.2465743,-0.5629984,0.6212566
10,0.3222222,0.5811597,1.383471,0.09299625,-0.4918191,0.2375597,-0.563462,0.6198307
10,0.3333333,0.5814921,1.383785,0.09307025,-0.4976601,0.2272014,-0.5642169,0.6183634
10,0.3444445,0.5818374,1.383978,0.09327059,-0.5034188,0.2169287,-0.5648916,0.6167729
10,0.3555556,0.5822169,1.384595,0.09330912,-0.5096092,0.2051638,-0.5646853,0.6159033
10,0.3666667,0.5826596,1.38535,0.09346116,-0.5157859,0.1930995,-0.5639826,0.6153058
10,0.3777778,0.5828687,1.386045,0.09364454,-0.5217662,0.1814812,-0.5631953,0.6145207
10,0.3888889,0.5828096,1.387881,0.09311933,-0.5263183,0.1725152,-0.5616725,0.6146148
10,0.4,0.5826851,1.389535,0.0930776,-0.530691,0.1646876,-0.5603296,0.6142278
10,0.4111111,0.5822817,1.391587,0.09271287,-0.5347538,0.1580129,-0.5581175,0.6144715
10,0.4222222,0.5820417,1.393581,0.09257452,-0.5388786,0.1512528,-0.5556906,0.6147686
10,0.4333333,0.5814698,1.395951,0.09227284,-0.5424843,0.1455603,-0.5523282,0.6160005
10,0.4444444,0.5811334,1.398283,0.0918788,-0.5458605,0.1397559,-0.5486313,0.6176636
10,0.4555556,0.580975,1.400581,0.09121165,-0.5494683,0.1330501,-0.5448241,0.6193132
10,0.4666667,0.5807384,1.402786,0.09069709,-0.5528557,0.1260818,-0.5400475,0.6219345
10,0.4777778,0.5805689,1.404982,0.0900401,-0.5560067,0.1181321,-0.5353385,0.6247512
10,0.4888889,0.5804695,1.40726,0.08926912,-0.5583328,0.1101012,-0.5307653,0.6280369
10,0.5,0.5799583,1.409712,0.08855305,-0.5601357,0.1032108,-0.5261998,0.6314343
10,0.5111111,0.5794879,1.412305,0.08773699,-0.5619916,0.09707859,-0.5216038,0.6345634
10,0.5222223,0.5787312,1.415058,0.08688895,-0.5635552,0.09234561,-0.516019,0.6384373
10,0.5333334,0.5782632,1.417563,0.08611919,-0.5652896,0.087088,-0.5103679,0.6421744
10,0.5444446,0.5777251,1.42016,0.08509246,-0.5668007,0.08297595,-0.5037384,0.6466063
10,0.5555557,0.5774801,1.422601,0.08409874,-0.5679822,0.07854001,-0.4964353,0.6517513
10,0.5666668,0.57736,1.425187,0.08285123,-0.5687404,0.07467569,-0.488579,0.6574561
10,0.577778,0.5771584,1.427702,0.0817167,-0.5693979,0.07115723,-0.4806579,0.6630917
10,0.5888891,0.5768718,1.43035,0.08046759,-0.5698283,0.06885228,-0.4719602,0.6691852
10,0.6000003,0.5766175,1.432815,0.07909216,-0.5699047,0.06649649,-0.4636035,0.6751732
10,0.6111114,0.5765228,1.43531,0.07770988,-0.5700389,0.06368017,-0.455633,0.6807341
10,0.6222225,0.5762125,1.438194,0.07616739,-0.5702554,0.06119817,-0.4465886,0.6867475
10,0.6333337,0.5760835,1.440073,0.07523011,-0.5705445,0.05909637,-0.4403753,0.6906927
