Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
5,0,0.4449444,1.548755,0.04863365,0.4866923,-0.02857447,0.3640361,-0.7935942
5,0,0.4449444,1.548755,0.04863365,0.4866923,-0.02857447,0.3640361,-0.7935942
5,0.01111111,0.446169,1.547311,0.04832729,0.4869266,-0.03289421,0.3661562,-0.7923069
5,0.02222222,0.4473002,1.54603,0.04816372,0.4871896,-0.03746676,0.367619,-0.7912641
5,0.03333334,0.4484894,1.544631,0.04764989,0.4868511,-0.04100654,0.3703565,-0.7900193
5,0.04444445,0.4500938,1.543119,0.04719371,0.4869943,-0.04352185,0.3698375,-0.7900397
5,0.05555556,0.4500938,1.543119,0.04719371,0.4869943,-0.04352185,0.3698375,-0.7900397
5,0.06666667,0.4508585,1.542019,0.04677851,0.4871969,-0.04994357,0.3723543,-0.7883509
5,0.07777778,0.4520274,1.539888,0.04595868,0.4880482,-0.05608249,0.3732623,-0.7869809
5,0.08888889,0.4536993,1.537933,0.04522222,0.488758,-0.06124768,0.3737565,-0.7859201
5,0.1,0.4547585,1.536371,0.04464092,0.4894373,-0.06489152,0.3737899,-0.7851887
5,0.1111111,0.4559051,1.534856,0.0438627,0.4898562,-0.06760535,0.3737404,-0.784722
5,0.1222222,0.4569735,1.533422,0.04329529,0.4900314,-0.07073802,0.374033,-0.7841969
5,0.1333333,0.4579568,1.532143,0.04261498,0.4898481,-0.07307446,0.3746251,-0.7838144
5,0.1444445,0.4589764,1.530863,0.04188734,0.4891249,-0.07503137,0.3754088,-0.7837062
5,0.1555556,0.4599598,1.529727,0.04103477,0.4888305,-0.07800397,0.3751245,-0.7837358
5,0.1666667,0.4608463,1.528701,0.04035395,0.488591,-0.08076346,0.3747535,-0.7837831
5,0.1777778,0.4617274,1.527605,0.03959958,0.4883686,-0.08366756,0.3737431,-0.7840996
5,0.1888889,0.462514,1.526707,0.03891727,0.4884183,-0.08689044,0.3721433,-0.7844788
5,0.2,0.4633694,1.525782,0.03833231,0.4885991,-0.08989398,0.3703181,-0.7848914
5,0.2111111,0.4642757,1.524967,0.03756377,0.4887227,-0.09257209,0.3687434,-0.7852444
5,0.2222222,0.464924,1.524338,0.03692329,0.488613,-0.09489246,0.36737,-0.7856794
5,0.2333333,0.4656089,1.523633,0.03616842,0.4886346,-0.09716643,0.3663537,-0.7858624
5,0.2444444,0.4661072,1.523123,0.03556196,0.4884887,-0.0989323,0.3661623,-0.7858222
5,0.2555556,0.466588,1.522705,0.03486438,0.4881693,-0.09984335,0.3665639,-0.7857181
5,0.2666667,0.4670503,1.522303,0.03418244,0.4878912,-0.1006274,0.3668661,-0.7856498
5,0.2777778,0.4673638,1.522059,0.03346764,0.4877107,-0.100996,0.3669153,-0.7856917
5,0.2888889,0.467686,1.52188,0.03273603,0.4873137,-0.1012996,0.3663968,-0.7861407
5,0.3,0.4679306,1.521795,0.03189746,0.4864606,-0.1018484,0.3652338,-0.7871386
5,0.3111111,0.4681962,1.521762,0.0309402,0.485127,-0.1025502,0.3638888,-0.7884924
5,0.3222222,0.468348,1.521756,0.03011441,0.484304,-0.1035429,0.362103,-0.7896898
5,0.3333333,0.46834,1.521908,0.02935308,0.4838466,-0.1048949,0.3596484,-0.7909124
5,0.3444445,0.4683982,1.521932,0.028596,0.48361,-0.1059779,0.3572013,-0.7920211
5,0.3555556,0.4681992,1.52206,0.02805709,0.4846005,-0.107733,0.3534957,-0.792841
5,0.3666667,0.4681037,1.522038,0.02742567,0.485757,-0.1095849,0.3502329,-0.7933273
5,0.3777778,0.4679009,1.522054,0.02683967,0.4872661,-0.1117513,0.3468437,-0.7935886
5,0.3888889,0.4677126,1.5222,0.02609036,0.4885145,-0.1139568,0.3436846,-0.7938818
5,0.4,0.4675137,1.522309,0.02539393,0.4898625,-0.1162718,0.3403991,-0.794131
5,0.4111111,0.4672565,1.522339,0.02476604,0.4918597,-0.1185641,0.3371983,-0.7939231
5,0.4222222,0.4670191,1.522341,0.02401151,0.493825,-0.1200304,0.3350719,-0.793383
5,0.4333333,0.4669329,1.522355,0.02339827,0.4958458,-0.1209835,0.3332209,-0.7927571
